Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2027-09-01,289.4727,409.36957,1.3099066,36.438046,7.447867,24.793137,2.855136,17.811543,18.84317,223.52264,2.935851,6.367393,87.41856,4.487348,4.189604,9.595487,4.8847227,21.023838,32.412113,33.180233,101.233284,3.0525,25.99849,78.216255,44.21331,9.759967,31.449356,130.73857,0.3824008,8.941672,35.21123,3.7660763,7.1302433,117.6568,82.172676,10.862458,5.125087,15.176159,15.849018,79.38646,2.1213608,47.697655,33.52595,46.484604,90.65652,27.082487,5.156939,1.6669269
2027-10-01,291.33914,411.92285,1.3155767,36.553795,7.469489,24.905695,2.864927,17.857267,18.903017,224.72697,2.946892,6.384119,87.73089,4.519481,4.200975,9.62241,4.9015865,21.061749,32.591373,33.251575,101.55569,3.0634384,26.072529,78.49676,44.388588,9.784771,31.508335,131.51181,0.3917843,8.970524,35.295868,3.7795355,7.1509533,118.05897,82.48403,10.906211,5.1386604,15.198855,15.869311,79.64383,2.126126,47.866104,33.666534,46.61874,90.90833,27.119465,5.1679354,1.6727012
2027-11-01,293.75784,415.27625,1.3219364,36.69492,7.4975624,25.048532,2.8768568,17.91657,18.981468,226.31696,2.9604752,6.4051824,88.153366,4.5569882,4.215428,9.65516,4.9227004,21.117464,32.81786,33.350685,101.99014,3.0763507,26.162441,78.87738,44.601463,9.814874,31.593616,132.44856,0.4021166,9.007227,35.40712,3.7958126,7.1777415,118.60725,82.881134,10.961134,5.155224,15.229771,15.898123,79.99148,2.1324096,48.07451,33.828785,46.78836,91.248405,27.173721,5.180574,1.6791222
2027-12-01,294.60663,416.35352,1.3270361,36.76531,7.5068464,25.10561,2.882858,17.935917,19.006664,226.80917,2.9668798,6.41369,88.26715,4.581519,4.221008,9.671303,4.9318013,21.12636,32.911415,33.37331,102.10927,3.0842054,26.208776,78.97947,44.709984,9.83005,31.608732,132.95393,0.41114604,9.021802,35.441734,3.8044946,7.1873655,118.748985,83.02913,10.985094,5.1633263,15.239126,15.905905,80.08649,2.134517,48.178207,33.944077,46.85936,91.34324,27.182812,5.1894665,1.68438
2028-01-01,293.7936,415.03098,1.3306774,36.758785,7.49637,25.071505,2.8825326,17.91334,18.97601,226.14914,2.965581,6.4089274,88.0594,4.59176,4.2171974,9.669563,4.9280825,21.087404,32.86375,33.31689,101.90095,3.0865884,26.207354,78.79092,44.70552,9.829207,31.551847,132.99298,0.41863477,9.013035,35.396194,3.8050764,7.178973,118.46853,82.91489,10.976607,5.162442,15.225727,15.89151,79.91928,2.132261,48.17069,34.006195,46.826435,91.18269,27.145113,5.1941338,1.6882868
2028-02-01,292.68253,413.27466,1.334138,36.737522,7.4822984,25.020973,2.881095,17.883034,18.935335,225.28053,2.9629157,6.4017134,87.79481,4.59961,4.2116833,9.66441,4.922061,21.04056,32.791405,33.246807,101.63455,3.0880365,26.196823,78.55061,44.679787,9.825377,31.482841,132.95108,0.42602962,9.000202,35.335865,3.804257,7.167454,118.115486,82.75166,10.962529,5.1599345,15.2084,15.873563,79.706535,2.1292677,48.1447,34.060394,46.77542,90.97831,27.09976,5.1981664,1.6920379
2028-03-01,292.31525,412.6088,1.3382605,36.751205,7.477145,25.011011,2.88244,17.871859,18.92032,224.94083,2.963605,6.4004827,87.68314,4.613306,4.21038,9.6673,4.92172,21.018536,32.78263,33.215942,101.52477,3.091915,26.20752,78.44887,44.70499,9.829029,31.45094,133.12718,0.43407562,8.998109,35.313263,3.807022,7.1642323,117.96817,82.70976,10.963431,5.1615615,15.202545,15.86741,79.620186,2.1283164,48.17454,34.142185,46.777267,90.90068,27.079494,5.2044487,1.696457
2028-04-01,291.9163,411.90295,1.342411,36.764122,7.4716063,24.999327,2.8836474,17.859907,18.904346,224.58295,2.9641201,6.3990006,87.56759,4.6266885,4.2088833,9.669922,4.9211106,20.996458,32.770992,33.184563,101.41124,3.095714,26.217564,78.34437,44.728676,9.832507,31.418858,133.29953,0.44218835,8.995632,35.289696,3.8096457,7.1606946,117.81572,82.66373,10.96375,5.163044,15.196835,15.861638,79.530685,2.1272962,48.203983,34.22534,46.778587,90.8206,27.059381,5.210835,1.7009246
2028-05-01,292.76572,413.00488,1.3475134,36.831165,7.480963,25.056496,2.8895872,17.879162,18.93047,225.09676,2.9704504,6.4074574,87.69673,4.650887,4.214468,9.685466,4.9302373,21.012188,32.865147,33.213837,101.54563,3.1035166,26.261059,78.46339,44.83354,9.847321,31.442923,133.80373,0.45133328,9.010728,35.325676,3.8182976,7.170732,117.981384,82.81016,10.9883175,5.1710176,15.208222,15.872776,79.63816,2.1295965,48.31138,34.342438,46.85306,90.92876,27.074791,5.21977,1.7061914
2028-06-01,294.6942,415.66876,1.3540349,36.95346,7.503113,25.173958,2.8998673,17.925858,18.993277,226.3604,2.9819052,6.4247913,88.03767,4.685663,4.2262273,9.713499,4.9478245,21.060427,33.053967,33.29605,101.89753,3.115374,26.338701,78.77403,45.018818,9.873714,31.5158,134.65686,0.46233714,9.041452,35.415573,3.832683,7.1927776,118.43041,83.13476,11.035454,5.1853666,15.2356825,15.900119,79.92204,2.1348002,48.504345,34.508682,47.004566,91.21294,27.12318,5.232616,1.7128992
2028-07-01,296.5935,418.30164,1.360964,37.0804,7.524837,25.28916,2.9100273,17.972448,19.055826,227.61047,2.9930325,6.4419384,88.38064,4.7201657,4.237758,9.741844,4.9649324,21.11035,33.241444,33.380245,102.2543,3.1273868,26.419104,79.0835,45.207977,9.901133,31.591398,135.54936,0.474037,9.072094,35.507336,3.8470984,7.214842,118.89606,83.46576,11.083305,5.2000556,15.264815,15.929745,80.21509,2.1400454,48.714523,34.691525,47.170258,91.516106,27.176104,5.246948,1.720192
2028-08-01,298.8142,421.40588,1.3680792,37.221115,7.550274,25.421345,2.9212387,18.027023,19.129236,229.08665,3.0054684,6.4614806,88.788574,4.7567015,4.2509923,9.773269,4.984294,21.170622,33.45545,33.480865,102.67732,3.1402502,26.507824,79.45151,45.416893,9.931402,31.682497,136.53084,0.4859255,9.107168,35.615025,3.862883,7.2403812,119.45104,83.84753,11.137377,5.2163396,15.29903,15.964579,80.56282,2.146158,48.948853,34.88484,47.35847,91.87462,27.239826,5.2621174,1.7276899
2028-09-01,300.82288,424.21106,1.3749484,37.35177,7.5731616,25.541418,2.9315357,18.076221,19.195692,230.42014,3.0167825,6.4792542,89.15772,4.7908444,4.2629905,9.802165,5.0018907,21.225409,33.651352,33.571857,103.059906,3.1522348,26.590147,79.78335,45.61004,9.959498,31.765142,137.45013,0.4975213,9.13918,35.71269,3.8774772,7.2636623,119.95822,84.19719,11.187352,5.231383,15.330602,15.997047,80.88013,2.1517582,49.171432,35.071278,47.53537,92.20474,27.298454,5.276742,1.7349663
2028-10-01,303.10583,427.42844,1.381933,37.49267,7.5992274,25.675806,2.9426544,18.131926,19.271479,231.94986,3.02914,6.4989405,89.5827,4.8267207,4.2764115,9.833319,5.0213323,21.289217,33.869194,33.676487,103.49728,3.1648295,26.678738,80.16629,45.817562,9.989534,31.860846,138.43283,0.50931203,9.174732,35.823227,3.8931425,7.289853,120.54104,84.586975,11.242431,5.247589,15.36631,16.033747,81.24326,2.1581204,49.41078,35.263016,47.72787,92.57872,27.36562,5.291731,1.7423272
2028-11-01,305.19843,430.3759,1.3887019,37.62394,7.6229854,25.799133,2.9529374,18.182747,19.340828,233.35039,3.0404983,6.5169816,89.972176,4.860508,4.28868,9.862155,5.0391393,21.348059,34.07019,33.772564,103.898445,3.176664,26.761238,80.51736,46.010498,10.017517,31.94905,139.36012,0.5209053,9.207449,35.92464,3.9077365,7.3139234,121.077614,84.94621,11.2936735,5.262648,15.399635,16.068354,81.577515,2.1639836,49.63874,35.448414,47.909134,92.92518,27.428062,5.306207,1.749496
2028-12-01,306.3839,432.02304,1.3948073,37.715553,7.6361775,25.872662,2.9597979,18.211206,19.380312,234.12857,3.047629,6.527865,90.189354,4.8866515,4.295888,9.881528,5.0499153,21.381218,34.193832,33.826283,104.12389,3.1855881,26.81947,80.71188,46.143715,10.0371065,31.998602,140.03629,0.531928,9.227506,35.983353,3.917977,7.328306,121.38941,85.16491,11.327348,5.272937,15.420871,16.091133,81.772125,2.1675231,49.807377,35.607563,48.03542,93.13661,27.465675,5.318623,1.756067
