rmd_name,pt_name,rank,rank_by,forecast_mean_raw,normalization_denominator
RMD_Disinhibited Social Engagement Disorder,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Dissociative Amnesia,PT_Focused Ultrasound Therapy,1,coupling,1.7356971878753409,1.0
RMD_Dissociative Amnesia,PT_Antidepressants,2,coupling,185.83049642213004,1.0
RMD_Dissociative Amnesia,PT_Mood Stabilizers,3,coupling,84.89563124051453,1.0
RMD_Dissociative Amnesia,PT_Traditional And Alternative Medicine Approaches,4,coupling,17.56052735219998,1.0
RMD_Dissociative Amnesia,PT_Metaverse,5,coupling,2.6694403671080096,1.0
RMD_Dissociative Amnesia,PT_Resting State Fmri,6,coupling,7.060273840005455,1.0
RMD_Dissociative Amnesia,PT_Digital Health Tools,7,coupling,9.618268563052428,1.0
RMD_Dissociative Amnesia,PT_Electroencephalography,8,coupling,196.72115849966346,1.0
RMD_Dissociative Fugue,PT_Closed Loop Neurostimulation,1,coupling,20.026578227949962,1.0
RMD_Dissociative Fugue,PT_Electroconvulsive Therapy,2,coupling,20.87111237528387,1.0
RMD_Dissociative Fugue,PT_Fecal Microbiota Transplant,3,coupling,14.9814366039266,1.0
RMD_Dissociative Fugue,PT_Stimulant And Wake Promoting Agents,4,coupling,25.02093435276346,1.0
RMD_Dissociative Fugue,PT_Neuroprotective Agents,5,coupling,41.7172712620327,1.0
RMD_Dissociative Fugue,PT_Hypnotherapy,6,coupling,11.816733332088559,1.0
RMD_Dissociative Fugue,PT_Selective Serotonin Reuptake Inhibitors,7,coupling,89.37098099365218,1.0
RMD_Dissociative Fugue,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Ekbom Syndrome,PT_Social Skills Training,1,coupling,32.019623837354395,1.0
RMD_Ekbom Syndrome,PT_Secure Data Storage For Patient Records,2,coupling,0.18997881838848096,1.0
RMD_Ekbom Syndrome,PT_Augmentative Communication Devices,3,coupling,0.8334379160919944,1.0
RMD_Ekbom Syndrome,PT_Neurofeedback Systems,4,coupling,0.3728284600469902,1.0
RMD_Ekbom Syndrome,PT_Digital Phenotyping,5,coupling,17.591852332470925,1.0
RMD_Ekbom Syndrome,PT_Lithium Therapy,6,coupling,0.23151593235861817,1.0
RMD_Ekbom Syndrome,PT_Memory Retrieval Techniques,7,coupling,0.16897207790310198,1.0
RMD_Ekbom Syndrome,PT_Vocal And Speech Biomarkers,8,coupling,0.27303934603075597,1.0
RMD_Erotomania,PT_Motivational Interviewing,1,coupling,51.08942155846028,1.0
RMD_Erotomania,PT_Transcranial Direct Current Stimulation,2,coupling,32.27736119849385,1.0
RMD_Erotomania,PT_Hypnotherapy,3,coupling,11.816733332088559,1.0
RMD_Erotomania,PT_Stimulant And Wake Promoting Agents,4,coupling,25.02093435276346,1.0
RMD_Erotomania,PT_Digital Therapeutics,5,coupling,14.738358545936071,1.0
RMD_Erotomania,PT_Digital Phenotyping,6,coupling,17.591852332470925,1.0
RMD_Erotomania,PT_Occupational Therapy,7,coupling,58.45976545235784,1.0
RMD_Erotomania,PT_Neuroprotective Agents,8,coupling,41.7172712620327,1.0
RMD_Factitious Disorder,PT_Closed Loop Neurostimulation,1,coupling,20.026578227949962,1.0
RMD_Factitious Disorder,PT_Naltrexone,2,coupling,14.856798968418369,1.0
RMD_Factitious Disorder,PT_Electroconvulsive Therapy,3,coupling,20.87111237528387,1.0
RMD_Factitious Disorder,PT_Animal Assisted Therapy,4,coupling,6.123684375853989,1.0
RMD_Factitious Disorder,PT_Neuroprotective Agents,5,coupling,41.7172712620327,1.0
RMD_Factitious Disorder,PT_Stimulant And Wake Promoting Agents,6,coupling,25.02093435276346,1.0
RMD_Factitious Disorder,PT_Transference Focused Psychotherapy,7,coupling,9.78525111494212,1.0
RMD_Factitious Disorder,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Fregoli Delusion,PT_Mentalization Based Treatment,1,coupling,4.9315125117963206,1.0
RMD_Fregoli Delusion,PT_Electroconvulsive Therapy,2,coupling,20.87111237528387,1.0
RMD_Fregoli Delusion,PT_Animal Assisted Therapy,3,coupling,6.123684375853989,1.0
RMD_Fregoli Delusion,PT_Naltrexone,4,coupling,14.856798968418369,1.0
RMD_Fregoli Delusion,PT_Hypnotherapy,5,coupling,11.816733332088559,1.0
RMD_Fregoli Delusion,PT_Cbt For Insomnia,6,coupling,3.1444966207426286,1.0
RMD_Fregoli Delusion,PT_Immunotherapy For Neuropsychiatric Disorders,7,coupling,9.781975905506505,1.0
RMD_Fregoli Delusion,PT_Social Skills Training,8,coupling,32.019623837354395,1.0
RMD_Ganser Syndrome,PT_Machine Learning Neuroimaging,1,coupling,12.871072064790562,1.0
RMD_Ganser Syndrome,PT_Cbt For Insomnia,2,coupling,3.1444966207426286,1.0
RMD_Ganser Syndrome,PT_Immunotherapy For Neuropsychiatric Disorders,3,coupling,9.781975905506505,1.0
