RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Cognitive Behavioral Therapy_NoM,1.1,0.14860176639568495,0.5822611127682177,1,0.03214300718498069,6,0.16869178196804857,1,1.0,96,0.0625,0.1649923249241117,0.0,0.96875,0.1583537573154018
RMD_Anorexia Nervosa_NoM,PT_Cognitive Enhancement Programs_NoM,1.0022514830193818,0.32254853110080245,0.7174768993623036,0,0.2903604830157524,1,0.2669747195721856,1,1.0,85,0.125,0.18750836426100054,0.1350401668398019,0.9375,0.3030700721639085
RMD_Anorexia Nervosa_NoM,PT_Cultural Psychiatry Interventions_NoM,1.0034907519945404,0.30217192932638093,0.539950628430397,0,0.3900823912489311,0,0.1614217564918271,3,1.0,96,0.10416666666666667,0.12071928711373181,0.18145264221264912,0.9479166666666666,0.28743367739390385
RMD_Anorexia Nervosa_NoM,PT_Deep Brain Stimulation_NoM,1.0173657594895331,0.15510344259148964,0.6919053956824898,0,0.08304338969104585,2,0.1768090359568177,6,0.6666666666666666,96,0.10416666666666667,0.14578351606761597,0.009319926523873673,0.9479166666666666,0.1495783414803064
RMD_Anorexia Nervosa_NoM,PT_Dialectical Behavior Therapy_NoM,1.059972421343588,0.25113729542089736,0.7337745444223189,1,0.3657461669330402,1,0.14089227765105974,1,0.6666666666666666,96,0.0625,0.17511391434485007,0.07602338107604728,0.96875,0.25787990064456323
RMD_Anorexia Nervosa_NoM,PT_Dietary Interventions And Supplements_NoM,1.00834451841734,0.08316747678289524,0.17088080013609655,5,0.07600514341271497,5,0.1078012835336509,5,0.6666666666666666,96,0.14583333333333334,0.16637734169987006,0.0,0.9270833333333334,0.07774657051971261
RMD_Anorexia Nervosa_NoM,PT_Digital Health Tools_NoM,1.0900190729268333,0.13699166639550675,0.34494739501420246,6,0.17751769878921617,6,0.1111384349289791,1,0.6666666666666666,96,0.08333333333333333,0.16380623814197137,0.0,0.9583333333333334,0.14310171548633513
RMD_Anorexia Nervosa_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,1.0200882005689977,0.0,0.0,0,0.0,0,0.0,0,0.3333333333333333,96,0.08333333333333333,0.11580936326704229,0.0,0.9583333333333334,0.0
RMD_Anorexia Nervosa_NoM,PT_Digital Phenotyping_NoM,1.0347874115927345,0.3991187828534297,0.8736911828565969,4,0.43902426851167103,2,0.2537527638611513,6,1.0,96,0.25,0.22082994565492148,0.17828883719850824,0.875,0.3613777056985753
RMD_Anorexia Nervosa_NoM,PT_Digital Therapeutics_NoM,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Electroconvulsive Therapy_NoM,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0
