Column,Index,Date,Baseline,Original,Jump,Reduction_Fraction,Capped
RMD_Schizotypal Personality Disorder_NoP,64,1970-01,624.1015917161733,3339.217754938125,2715.116163221952,0.3,2524.682905971539
RMD_Schizotypal Personality Disorder_NoP,65,1970-01,1474.213515040234,4288.850269127446,2814.6367540872125,0.3,3444.459242901283
RMD_Schizotypal Personality Disorder_NoP,66,1970-01,2524.682905971539,5122.075280552198,2597.3923745806587,0.3,4342.857568178
RMD_Schizotypal Personality Disorder_NoP,67,1970-01,3444.459242901283,5846.367414431714,2401.908171530431,0.3,5125.7949629725845
RMD_Schizotypal Personality Disorder_NoP,68,1970-01,4342.857568178,6468.998497851118,2126.140929673118,0.3,5831.156218949183
RMD_Schizotypal Personality Disorder_NoP,69,1970-01,5125.7949629725845,6997.021480439327,1871.2265174667427,0.3,6435.653525199305
RMD_Schizotypal Personality Disorder_NoP,70,1970-01,5831.156218949183,7437.257057366519,1606.1008384173356,0.3,6955.426805841318
RMD_Schizotypal Personality Disorder_NoP,71,1970-01,6435.653525199305,7947.010291314159,1511.3567661148545,0.3,7493.603261479702
RMD_Schizotypal Personality Disorder_NoP,72,1970-01,6955.426805841318,8599.321900410465,1643.8950945691467,0.3,8106.153372039721
RMD_Schizotypal Personality Disorder_NoP,73,1970-01,7493.603261479702,8784.530739095087,1290.9274776153852,0.3,8397.252495810471
RMD_Schizotypal Personality Disorder_NoP,74,1970-01,8106.153372039721,8982.659790215772,876.5064181760508,0.3,8719.707864762957
RMD_Schizotypal Personality Disorder_NoP,75,1970-01,8397.252495810471,9119.651387273309,722.3988914628371,0.3,8902.931719834458
RMD_Schizotypal Personality Disorder_NoP,76,1970-01,8719.707864762957,9125.570567688726,405.86270292576955,0.3,9003.811756810996
RMD_Schizotypal Personality Disorder_NoP,77,1970-01,8902.931719834458,9612.816227224155,709.8845073896973,0.3,9399.850875007245
RMD_Schizotypal Personality Disorder_NoP,78,1970-01,9003.811756810996,9651.575739669925,647.763982858929,0.3,9457.246544812246
RMD_Schizotypal Personality Disorder_NoP,79,1970-01,9399.850875007245,9645.378922172764,245.52804716551873,0.3,9571.720508023109
RMD_Schizotypal Personality Disorder_NoP,83,1970-01,9373.893640032908,11251.388429680002,1877.4947896470949,0.3,10688.139992785873
RMD_Schizotypal Personality Disorder_NoP,84,1970-01,9373.893640032908,11196.31938353719,1822.4257435042819,0.3,10649.591660485905
RMD_Schizotypal Personality Disorder_NoP,85,1970-01,10649.591660485905,11711.629395090971,1062.0377346050664,0.3,11393.018074709451
RMD_Schizotypal Personality Disorder_NoP,86,1970-01,10688.139992785873,11183.77525851392,495.63526572804767,0.3,11035.084678795507
RMD_Schizotypal Personality Disorder_NoP,95,1970-01,8294.883894647117,9556.778712833902,1261.8948181867854,0.3,9178.210267377866
RMD_Schizotypal Personality Disorder_NoP,96,1970-01,8294.883894647117,8922.100155637841,627.2162609907245,0.3,8733.935277340624
RMD_Schizotypal Personality Disorder_NoP,107,1970-01,4744.14957264696,6568.017231755247,1823.8676591082867,0.3,6020.8569340227605
RMD_Schizotypal Personality Disorder_NoP,108,1970-01,4744.14957264696,6005.710378490831,1261.560805843871,0.3,5627.24213673767
RMD_Schizotypal Personality Disorder_NoP,119,1970-01,2427.36390440601,3984.4962490022895,1557.1323445962794,0.3,3517.3565456234055
RMD_Schizotypal Personality Disorder_NoP,120,1970-01,2427.36390440601,3646.981627893932,1219.617723487922,0.3,3281.0963108475553
RMD_Schizotypal Personality Disorder_NoP,121,1970-01,3281.0963108475553,3403.9360607569392,122.83974990938395,0.3,3367.084135784124
RMD_Schizotypal Personality Disorder_NoP,130,1970-01,1443.77585783948,1716.5990202697028,272.82316243022274,0.3,1634.752071540636
RMD_Schizotypal Personality Disorder_NoP,131,1970-01,1443.77585783948,2442.35602370517,998.5801658656901,0.3,2142.781973945463
RMD_Schizotypal Personality Disorder_NoP,132,1970-01,1634.752071540636,2150.250546678566,515.49847513793,0.3,1995.601004137187
RMD_Schizotypal Personality Disorder_NoP,141,1970-01,1105.5066598128346,2188.389344534115,1082.8826847212804,0.3,1863.524539117731
RMD_Schizotypal Personality Disorder_NoP,142,1970-01,1211.9314955620644,2394.131536659443,1182.2000410973787,0.3,2039.4715243302294
RMD_Schizotypal Personality Disorder_NoP,143,1970-01,1863.524539117731,2287.406351888941,423.8818127712102,0.3,2160.241808057578
RMD_Schizotypal Personality Disorder_NoP,153,1970-01,1928.6366517753768,2008.0693068134287,79.43265503805196,0.3,1984.239510302013
RMD_Schizotypal Personality Disorder_NoP,154,1970-01,1984.239510302013,2460.692099813609,476.45258951159576,0.3,2317.75632296013
RMD_Schizotypal Personality Disorder_NoP,155,1970-01,1984.239510302013,3415.5941530147024,1431.3546427126894,0.3,2986.1877602008954
RMD_Schizotypal Personality Disorder_NoP,156,1970-01,2317.75632296013,3410.983030130613,1093.2267071704828,0.3,3083.015017979468
RMD_Schizotypal Personality Disorder_NoP,157,1970-01,2986.1877602008954,3178.04185438428,191.85409418338486,0.3,3120.485626129265
RMD_Schizotypal Personality Disorder_NoP,159,1970-01,3083.015017979468,3423.421704556696,340.4066865772279,0.3,3321.2996985835275
RMD_Schizotypal Personality Disorder_NoP,166,1970-01,2195.7683983156303,2551.686618906036,355.9182205904058,0.3,2444.911152728914
RMD_Schizotypal Personality Disorder_NoP,167,1970-01,2195.7683983156303,3264.7833343428706,1069.0149360272403,0.3,2944.0788535346983
RMD_Schizotypal Personality Disorder_NoP,168,1970-01,2444.911152728914,3197.831461564308,752.9203088353938,0.3,2971.95536891369
RMD_Schizotypal Personality Disorder_NoP,175,1970-01,2489.6554568983497,2637.960374431311,148.3049175329611,0.3,2593.4688991714224
RMD_Schizotypal Personality Disorder_NoP,176,1970-01,2489.6554568983497,2663.3007237553325,173.64526685698274,0.3,2611.207143698238
RMD_Schizotypal Personality Disorder_NoP,178,1970-01,2611.207143698238,3844.305830301092,1233.0986866028543,0.3,3474.376224320236
RMD_Schizotypal Personality Disorder_NoP,179,1970-01,2611.7817845281747,3951.038442345213,1339.256657817038,0.3,3549.2614450001015
RMD_Schizotypal Personality Disorder_NoP,180,1970-01,3474.376224320236,3596.6926009731947,122.31637665295875,0.3,3559.997687977307
RMD_Schizotypal Personality Disorder_NoP,191,1970-01,2272.891127001381,2882.185971053846,609.2948440524651,0.3,2699.3975178381065
RMD_Schizotypal Personality Disorder_NoP,192,1970-01,2314.4521030897567,2966.0292723662574,651.5771692765006,0.3,2770.5561215833072
RMD_Schizotypal Personality Disorder_NoP,193,1970-01,2699.3975178381065,3119.9655971855964,420.56807934748986,0.3,2993.7951733813493
RMD_Schizotypal Personality Disorder_NoP,194,1970-01,2770.5561215833072,2962.9859615370733,192.42983995376608,0.3,2905.2570095509436
RMD_Schizotypal Personality Disorder_NoP,195,1970-01,2905.2570095509436,3190.885609645717,285.62860009477345,0.3,3105.197029617285
RMD_Schizotypal Personality Disorder_NoP,196,1970-01,2993.7951733813493,3179.0708648952686,185.27569151391936,0.3,3123.488157441093
RMD_Schizotypal Personality Disorder_NoP,201,1970-01,2648.6695674557664,2836.8772286631997,188.20766120743338,0.3,2780.41493030097
RMD_Schizotypal Personality Disorder_NoP,202,1970-01,2648.6695674557664,3371.264545316209,722.5949778604427,0.3,3154.486051958076
