Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness
25,RMD_Factitious Disorder,PT_Art Therapy,0.539185616456763,0.539185616456763,0.5505538686122621,36,0.6809903165995808,0.14180470014281774
26,RMD_Capgras Syndrome,PT_Reality Testing Techniques,0.5361686587282307,0.5361686587282307,0.5577700333000226,36,0.5429141130217041,0.00674545429347344
27,RMD_Selective Mutism,PT_Transcranial Magnetic Stimulation,0.5357896341432969,0.5357896341432969,0.5543627781385161,36,0.8604658235848102,0.3246761894415133
28,RMD_Body Integrity Dysphoria,PT_Neuroplasticity Techniques,0.5349255502466945,0.5349255502466945,0.5489860131753558,36,0.5670019260395676,0.03207637579287303
29,RMD_Schizotypal Personality Disorder,PT_Neurofeedback Systems,0.5342439695539379,0.5342439695539379,0.5419426215579515,36,0.6605032043836859,0.12625923482974802
30,RMD_Landau Kleffner Syndrome,PT_Cognitive Assistive Technologies,0.5315957191999225,0.5315957191999225,0.5548725123714253,36,0.5590709259771585,0.027475206777235917
31,RMD_Hyperthymesia,PT_Augmentative Communication Devices,0.5277711330116324,0.5277711330116324,0.5339624337563122,36,0.6444958709212335,0.11672473790960115
32,RMD_Antisocial Personality Disorder,PT_Psychoeducation Programs,0.5152216585285166,0.5152216585285166,0.5325849798385657,36,0.6870196892979348,0.17179803076941802
33,RMD_Dissociative Amnesia,PT_Reality Testing Techniques,0.5142579860014942,0.5142579860014942,0.5159775535121767,36,0.5210034402949676,0.00674545429347344
34,RMD_Postpartum Psychosis,PT_Psilocybin Assisted Therapy,0.5142072282723525,0.5142072282723525,0.5208876553762893,36,0.7183669958120321,0.2041597675396795
35,RMD_Anorexia Nervosa,PT_Augmentative Communication Devices,0.5097923033637496,0.5097923033637496,0.5119866801109663,36,0.6265170412733507,0.11672473790960115
36,RMD_Chronic Traumatic Encephalopathy,PT_Psychoeducation Programs,0.5069209938381285,0.5069209938381285,0.5206728128788053,36,0.6787190246075465,0.17179803076941802
37,RMD_Ekbom Syndrome,PT_Vocal And Speech Biomarkers,0.5043903847813893,0.5043903847813893,0.5251285528678034,36,0.5119498443037827,0.00755945952239323
38,RMD_Narcissistic Personality Disorder,PT_Stem Cell Therapy For Neurological Disorders,0.501403415789439,0.501403415789439,0.512420368396573,36,0.6620654771117923,0.16066206132235314
39,RMD_Ekbom Syndrome,PT_Memory Retrieval Techniques,0.5011099897818672,0.5011099897818672,0.5124202843671415,36,0.5119498443037827,0.010839854521915463
