node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual,recal_horizon,recal_category,recal_group,recal_scale
PT_Antidepressants,PT,1,13,262,80.3943099975586,4.63970947265625,75.75460052490234,85.03401947021484,203.3540954589844,1,PT,H1|PT,12.0
PT_Antipsychotic Medications,PT,1,13,262,51.46490859985352,2.09088134765625,49.37402725219727,53.55578994750977,88.17817687988281,1,PT,H1|PT,12.0
PT_Behavioral Activation Therapy,PT,1,13,262,4.1574249267578125,0.3901491165161124,3.7672758102417,4.547574043273925,73.28156280517578,1,PT,H1|PT,12.0
PT_Benzodiazepines,PT,1,13,262,39.26395797729492,3.1505355834960938,36.11342239379883,42.414493560791016,103.09512329101562,1,PT,H1|PT,12.0
PT_Biofeedback Devices,PT,1,13,262,0.7385266423225403,0.10110604763031,0.6374205946922302,0.8396326899528503,1.2651408910751345,1,PT,H1|PT,12.0
PT_Brain Stimulation Technologies,PT,1,13,262,0.5879008173942566,0.3918163776397704,0.1960844397544862,0.979717195034027,0.9340124726295472,1,PT,H1|PT,12.0
PT_Brain-Computer Interface,PT,1,13,262,19.146623611450195,0.8586730957031243,18.28795051574707,20.00529670715332,44.430850982666016,1,PT,H1|PT,12.0
PT_Cognitive Behavioral Therapy,PT,1,13,262,61.6286735534668,8.509185791015625,53.11948776245117,70.13785934448242,30.88637924194336,1,PT,H1|PT,12.0
PT_Cognitive Enhancement Programs,PT,1,13,262,0.0366879664361476,0.0361878052353852,0.0005001612007623987,0.07287577167153281,0.0494305789470672,1,PT,H1|PT,12.0
PT_Cognitive Technologies,PT,1,13,262,10.49649429321289,2.9074974060058585,7.588996887207032,13.40399169921875,44.581390380859375,1,PT,H1|PT,12.0
PT_Creative Arts Therapies,PT,1,13,262,4.7050395011901855,0.4665241241455068,4.238515377044679,5.1715636253356925,19.053306579589844,1,PT,H1|PT,12.0
PT_Dietary Interventions & Supplements,PT,1,13,262,0.097979724407196,0.0714712589979168,0.026508465409279203,0.1694509834051128,0.2296719700098037,1,PT,H1|PT,12.0
PT_Digital Health Tools,PT,1,13,262,6.451214790344238,0.8996915817260736,5.551523208618165,7.350906372070312,139.07015991210938,1,PT,H1|PT,12.0
PT_Digital Imaging Technologies for Brain Scanning,PT,1,13,262,0.3206261396408081,0.0374363064765924,0.2831898331642157,0.3580624461174005,0.4937410354614258,1,PT,H1|PT,12.0
PT_Electroencephalography,PT,1,13,262,44.96336364746094,6.743659973144531,38.219703674316406,51.70702362060547,36.40674209594727,1,PT,H1|PT,12.0
PT_Exposure Therapy,PT,1,13,262,4.315855503082275,0.6973257064819331,3.6185297966003422,5.013181209564209,24.297582626342773,1,PT,H1|PT,12.0
PT_Expressive Writing & Journaling,PT,1,13,262,0.7990679144859314,0.0882586240768428,0.7108092904090886,0.8873265385627742,1.5809954404830933,1,PT,H1|PT,12.0
PT_Eye Movement Desensitization and Reprocessing,PT,1,13,262,8.04219913482666,1.5332307815551751,6.508968353271485,9.575429916381836,11.374717712402344,1,PT,H1|PT,12.0
PT_Genetic Testing,PT,1,13,262,3.72365665435791,0.38811206817626875,3.3355445861816415,4.111768722534179,8.354774475097656,1,PT,H1|PT,12.0
PT_Interpersonal Psychotherapy,PT,1,13,262,15.18104362487793,1.3804435729980469,13.800600051879883,16.561487197875977,10.062844276428224,1,PT,H1|PT,12.0
PT_Meditation and Relaxation Techniques,PT,1,13,262,1.9438120126724243,0.23729467391967718,1.706517338752747,2.1811066865921016,5.545215606689453,1,PT,H1|PT,12.0
PT_Metaverse,PT,1,13,262,10.292863845825195,1.530452728271484,8.762411117553711,11.82331657409668,151.8335418701172,1,PT,H1|PT,12.0
PT_Mindfulness-Based Stress Reduction,PT,1,13,262,30.89773178100586,4.516204833984374,26.381526947021484,35.413936614990234,35.38444137573242,1,PT,H1|PT,12.0
PT_Mood Stabilizers,PT,1,13,262,25.210010528564453,3.109142303466797,22.100868225097656,28.31915283203125,123.6307144165039,1,PT,H1|PT,12.0
PT_Neurocognitive Training,PT,1,13,262,1.7251033782958984,0.5379295349121084,1.18717384338379,2.263032913208007,3.223485946655273,1,PT,H1|PT,12.0
PT_Neurofeedback Systems,PT,1,13,262,0.3187703192234039,0.04978412389755239,0.2689861953258515,0.36855444312095625,0.5548139810562134,1,PT,H1|PT,12.0
PT_Neuromodulation Techniques,PT,1,13,262,3.7121658325195312,0.3210496902465816,3.3911161422729497,4.033215522766113,9.623373985290527,1,PT,H1|PT,12.0
PT_Neuroprotective Agents,PT,1,13,262,9.496161460876465,0.7138080596923824,8.782353401184082,10.209969520568848,6.58085298538208,1,PT,H1|PT,12.0
PT_Peer Support Programs & Online Communities,PT,1,13,262,-0.0552922002971172,0.6498713046312323,-0.7051635049283496,0.5945791043341151,0.001138332649134,1,PT,H1|PT,12.0
PT_Personalized Medicine,PT,1,13,262,96.99319458007812,36.75599670410156,60.23719787597656,133.7491912841797,126.58636474609376,1,PT,H1|PT,12.0
PT_Privacy-Preserving AI in Digital Mental Health,PT,1,13,262,0.1671066731214523,0.00404816865921,0.1630585044622423,0.17115484178066231,3.98051118850708,1,PT,H1|PT,12.0
PT_Psychoeducation Programs,PT,1,13,262,0.91366446018219,0.0506318807601924,0.8630325794219976,0.9642963409423825,1.6703293323516846,1,PT,H1|PT,12.0
PT_Psychophysiological Metrics for Treatment Response,PT,1,13,262,2.313284397125244,0.223122596740722,2.0901618003845224,2.536406993865966,5.954401016235352,1,PT,H1|PT,12.0
PT_Regenerative Medicine Approaches,PT,1,13,262,2.520261526107788,0.7835912704467769,1.7366702556610112,3.303852796554565,2.6131715774536133,1,PT,H1|PT,12.0
PT_Resting-state Functional Magnetic Resonance Imaging,PT,1,13,262,11.430036544799805,4.826139450073242,6.6038970947265625,16.256175994873047,18.36549568176269,1,PT,H1|PT,12.0
PT_Selective Serotonin Reuptake Inhibitors,PT,1,13,262,30.178789138793945,14.744247436523438,15.434541702270508,44.92303657531738,34.56449890136719,1,PT,H1|PT,12.0
PT_Social Skills Training,PT,1,13,262,0.273734986782074,0.067727386951446,0.20600759983062797,0.34146237373351995,0.1340613514184951,1,PT,H1|PT,12.0
PT_Stem Cell Therapy for Neurological Disorders,PT,1,13,262,2.429015636444092,0.279321670532226,2.1496939659118657,2.708337306976318,3.7870068550109854,1,PT,H1|PT,12.0
PT_Traditional & Alternative Medicine Approaches,PT,1,13,262,6.96869707107544,0.7520771026611325,6.2166199684143075,7.720774173736573,101.28751373291016,1,PT,H1|PT,12.0
PT_Transcranial Magnetic Stimulation,PT,1,13,262,88.28544616699219,12.439544677734375,75.84590148925781,100.72499084472656,68.37583923339844,1,PT,H1|PT,12.0
PT_Trauma-Focused CBT,PT,1,13,262,2.3832101821899414,0.2976794242858884,2.085530757904053,2.6808896064758296,8.658772468566895,1,PT,H1|PT,12.0
PT_Virtual Reality Exposure Therapy,PT,1,13,262,6.235970973968506,0.6634683609008785,5.572502613067627,6.899439334869385,8.285079956054688,1,PT,H1|PT,12.0
PT_Voxel-based Lesion-Symptom Mapping,PT,1,13,262,0.8192313313484192,0.3680713176727284,0.4511600136756908,1.1873026490211476,0.8394289612770081,1,PT,H1|PT,12.0
RMD_Anorexia nervosa,RMD,1,13,262,63.44969177246094,5.6306304931640625,57.819061279296875,69.080322265625,142.5057830810547,1,RMD,H1|RMD,12.0
RMD_Antisocial Personality Disorder,RMD,1,13,262,58.3442611694336,7.5012359619140625,50.84302520751954,65.84549713134766,61.89091873168945,1,RMD,H1|RMD,12.0
RMD_Autosarcophagy,RMD,1,13,262,2.124992609024048,0.38977003097534163,1.7352225780487063,2.5147626399993896,6.842548847198486,1,RMD,H1|RMD,12.0
RMD_Avoidant Personality,RMD,1,13,262,18.53019905090332,2.578239440917968,15.951959609985352,21.10843849182129,77.51924133300781,1,RMD,H1|RMD,12.0
RMD_Boanthropy,RMD,1,13,262,13.71259307861328,5.103549957275391,8.609043121337889,18.816143035888672,29.99809837341309,1,RMD,H1|RMD,12.0
RMD_Body Integrity Dysphoria,RMD,1,13,262,19.677005767822266,2.244312286376953,17.432693481445312,21.92131805419922,18.932960510253903,1,RMD,H1|RMD,12.0
RMD_Brief Psychotic,RMD,1,13,262,42.246219635009766,6.827156066894531,35.419063568115234,49.0733757019043,58.3548469543457,1,RMD,H1|RMD,12.0
RMD_Capgras,RMD,1,13,262,20.089130401611328,1.0553398132324212,19.033790588378906,21.14447021484375,46.89128112792969,1,RMD,H1|RMD,12.0
RMD_Childhood Disintegrative Disorder,RMD,1,13,262,24.693199157714844,2.5797157287597647,22.113483428955078,27.27291488647461,27.053611755371094,1,RMD,H1|RMD,12.0
RMD_Circadian Rhythm Sleep-Wake,RMD,1,13,262,1.2143269777297974,0.240333080291748,0.9739938974380493,1.4546600580215454,1.8262057304382324,1,RMD,H1|RMD,12.0
RMD_Cyclothymic,RMD,1,13,262,89.18438720703125,6.42498779296875,82.7593994140625,95.609375,115.47793579101562,1,RMD,H1|RMD,12.0
RMD_Delusional,RMD,1,13,262,18.16427230834961,1.73492431640625,16.42934799194336,19.89919662475586,176.01673889160156,1,RMD,H1|RMD,12.0
RMD_Dementia pugilistica,RMD,1,13,262,13.225345611572266,9.792303085327148,3.433042526245117,23.017648696899414,21.50393486022949,1,RMD,H1|RMD,12.0
RMD_Diogenes,RMD,1,13,262,30.075395584106445,0.924373626708984,29.15102195739746,30.99976921081543,50.437782287597656,1,RMD,H1|RMD,12.0
RMD_Disinhibited Social Engagement,RMD,1,13,262,4.308281898498535,1.3631858825683585,2.9450960159301767,5.671467781066894,11.459933280944824,1,RMD,H1|RMD,12.0
RMD_Dissociative Fugue,RMD,1,13,262,21.150447845458984,0.4988136291503904,20.651634216308594,21.649261474609375,38.75351333618164,1,RMD,H1|RMD,12.0
RMD_Ekbom,RMD,1,13,262,39.44516372680664,5.274192810058594,34.17097091674805,44.719356536865234,58.97589111328125,1,RMD,H1|RMD,12.0
RMD_Erotomanic,RMD,1,13,262,27.38817024230957,6.776767730712891,20.61140251159668,34.16493797302246,35.136940002441406,1,RMD,H1|RMD,12.0
RMD_Factitious,RMD,1,13,262,70.74208068847656,3.8857269287109375,66.85635375976562,74.6278076171875,116.10099029541016,1,RMD,H1|RMD,12.0
RMD_Fregoli Delusion,RMD,1,13,262,20.873380661010746,5.473789215087891,15.399591445922855,26.347169876098636,37.81548309326172,1,RMD,H1|RMD,12.0
RMD_Ganser,RMD,1,13,262,15.902587890625,7.183439254760742,8.719148635864258,23.086027145385742,18.67528343200684,1,RMD,H1|RMD,12.0
RMD_Hallucinogen-Induced Psychotic,RMD,1,13,262,25.471664428710938,12.708229064941406,12.763435363769531,38.179893493652344,68.51007843017578,1,RMD,H1|RMD,12.0
RMD_Histrionic Personality,RMD,1,13,262,20.666675567626957,1.2114486694335935,19.455226898193363,21.87812423706055,26.563188552856445,1,RMD,H1|RMD,12.0
RMD_Hypergraphia,RMD,1,13,262,14.584092140197754,5.643877029418945,8.940215110778809,20.2279691696167,13.134429931640623,1,RMD,H1|RMD,12.0
RMD_Hyperthymesia,RMD,1,13,262,31.97236633300781,21.906692504882812,10.065673828124996,53.879058837890625,71.65438079833984,1,RMD,H1|RMD,12.0
RMD_Impulse Control,RMD,1,13,262,18.31715965270996,2.206672668457031,16.11048698425293,20.523832321166992,24.537113189697266,1,RMD,H1|RMD,12.0
RMD_Intermetamorphosis,RMD,1,13,262,0.957875907421112,0.1430708169937128,0.8148050904273991,1.1009467244148248,7.796188831329346,1,RMD,H1|RMD,12.0
RMD_Kleine-Levin,RMD,1,13,262,4.14931058883667,0.2377223968505856,3.9115881919860844,4.387032985687256,12.204957962036133,1,RMD,H1|RMD,12.0
RMD_Kleptomania,RMD,1,13,262,51.62109756469727,6.941551208496094,44.67954635620118,58.56264877319337,57.24868774414063,1,RMD,H1|RMD,12.0
RMD_Landau-Kleffner,RMD,1,13,262,1.9697219133377075,0.5309429168701164,1.4387789964675912,2.500664830207824,3.621098756790161,1,RMD,H1|RMD,12.0
RMD_Narcissistic Personality,RMD,1,13,262,42.632442474365234,13.52471923828125,29.107723236083984,56.157161712646484,48.59054946899414,1,RMD,H1|RMD,12.0
RMD_Olfactory Reference,RMD,1,13,262,28.537050247192383,17.365940093994137,11.171110153198246,45.90299034118652,55.161319732666016,1,RMD,H1|RMD,12.0
RMD_Othello,RMD,1,13,262,48.98541259765625,10.819610595703125,38.165802001953125,59.805023193359375,49.98375701904297,1,RMD,H1|RMD,12.0
