node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual
PT_Digital Health Tools,PT,1,0,249,5.272446632385254,0.10910964012145996,5.164286136627197,5.382505416870117,36.22772216796875
PT_Digital Imaging Technologies for Brain Scanning,PT,1,0,249,0.2906736433506012,0.004127040505409241,0.28655320405960083,0.2948072850704193,0.49842050671577454
PT_Electroencephalography,PT,1,0,249,40.08707046508789,0.5120506286621094,39.57820510864258,40.6023063659668,11.285811424255371
PT_Exposure Therapy,PT,1,0,249,3.9283292293548584,0.054836273193359375,3.87379789352417,3.9834704399108887,13.880711555480957
PT_Expressive Writing & Journaling,PT,1,0,249,0.8945450186729431,0.01173323392868042,0.8828480839729309,0.9063145518302917,2.1671266555786133
PT_Eye Movement Desensitization and Reprocessing,PT,1,0,249,5.9998626708984375,0.11557149887084961,5.885245323181152,6.116388320922852,6.392275333404541
PT_Genetic Testing,PT,1,0,249,3.6731791496276855,0.04286813735961914,3.6305079460144043,3.7162442207336426,8.56177043914795
PT_Interpersonal Psychotherapy,PT,1,0,249,16.756732940673828,0.16521453857421875,16.59228515625,16.922714233398438,16.35737419128418
PT_Meditation and Relaxation Techniques,PT,1,0,249,1.7207417488098145,0.023868024349212646,1.6969784498214722,1.7447144985198975,4.060667991638184
PT_Metaverse,PT,1,0,249,10.848613739013672,0.15968799591064453,10.690003395080566,11.009379386901855,101.03410339355469
PT_Mindfulness-Based Stress Reduction,PT,1,0,249,34.20309829711914,0.44146156311035156,33.764404296875,34.6473274230957,48.78402328491211
PT_Mood Stabilizers,PT,1,0,249,25.346811294555664,0.27370548248291016,25.074527740478516,25.621938705444336,149.20091247558594
PT_Neurocognitive Training,PT,1,0,249,1.3406765460968018,0.04191678762435913,1.2991350889205933,1.3829686641693115,2.18336820602417
PT_Neurofeedback Systems,PT,1,0,249,0.31501859426498413,0.0051496028900146484,0.3098790943622589,0.3201783001422882,0.644741415977478
PT_Neuromodulation Techniques,PT,1,0,249,3.622596263885498,0.03452157974243164,3.5882039070129395,3.6572470664978027,9.982540130615234
PT_Neuroprotective Agents,PT,1,0,249,11.132120132446289,0.09899187088012695,11.03353214263916,11.231515884399414,13.00477123260498
PT_Peer Support Programs & Online Communities,PT,1,0,249,-0.07334976643323898,0.04436156526207924,-0.11665007472038269,-0.027926944196224213,0.0033653283026069403
PT_Personalized Medicine,PT,1,0,249,115.00812530517578,4.877960205078125,110.23267364501953,119.98859405517578,179.04310607910156
PT_Privacy-Preserving AI in Digital Mental Health,PT,1,0,249,0.1424458622932434,0.00025741755962371826,0.14218847453594208,0.14270330965518951,10.932701110839844
PT_Psychoeducation Programs,PT,1,0,249,0.921515703201294,0.004517227411270142,0.9170036911964417,0.9260381460189819,2.370645046234131
PT_Psychophysiological Metrics for Treatment Response,PT,1,0,249,2.0794010162353516,0.029399514198303223,2.0501418113708496,2.108940839767456,6.853199005126953
PT_Regenerative Medicine Approaches,PT,1,0,249,2.87744402885437,0.042725443840026855,2.834954023361206,2.9204049110412598,4.396684169769287
PT_Resting-state Functional Magnetic Resonance Imaging,PT,1,0,249,13.772799491882324,0.6166872978210449,13.168980598449707,14.402355194091797,30.08724594116211
PT_Selective Serotonin Reuptake Inhibitors,PT,1,0,249,18.495201110839844,0.5668306350708008,17.936609268188477,19.070270538330078,5.69190788269043
PT_Social Skills Training,PT,1,0,249,0.3016776442527771,0.010908544063568115,0.2908147871494293,0.31263187527656555,0.30181655287742615
