Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness,spillover_value_norm,cisn_adjusted_score
42,RMD_Narcissistic Personality Disorder,PT_Psychoeducation Programs,0.4902674463423742,0.4902674463423742,0.4975896536877623,36,0.6620654771117923,0.171798030769418,0.0,0.4902674463423742
43,RMD_Factitious Disorder,PT_Speech Language Therapy,0.4895840797432103,0.4895840797432103,0.4932644833753017,36,0.6809903165995808,0.1914062368563703,0.0,0.4895840797432103
44,RMD_Ganser Syndrome,PT_Psilocybin Assisted Therapy,0.4880718353893547,0.4880718353893547,0.5463725882159922,36,0.6922316029290343,0.2041597675396795,0.0,0.4880718353893547
45,RMD_Kleptomania,PT_Transcranial Direct Current Stimulation,0.4648897904343305,0.4648897904343305,0.4895447382393604,36,0.7412501146256589,0.2763603241913283,0.0,0.4648897904343305
46,RMD_Othello Syndrome,PT_Sleep Pattern Monitoring And Manipulation,0.4629881168189255,0.4629881168189255,0.4657680089962432,36,0.4786749159057052,0.0156867990867797,0.0,0.4629881168189255
47,RMD_Postpartum Psychosis,PT_Neuromodulation Techniques,0.453981189926174,0.453981189926174,0.4929985879760653,36,0.7183669958120321,0.2643858058858581,0.0,0.453981189926174
48,RMD_Boanthropy,PT_Cultural Psychiatry Interventions,0.453067972193978,0.453067972193978,0.4585258336833311,36,0.5298128585272359,0.0767448863332578,0.0,0.453067972193978
49,RMD_Hallucinogen Persisting Perception Disorder,PT_Emotion Regulation Training,0.4495869822770235,0.4495869822770235,0.4579115879487687,36,0.6878894775854928,0.2383024953084691,0.0,0.4495869822770235
50,RMD_Rumination Disorder,PT_Meditation And Relaxation Techniques,0.4485175257506333,0.4485175257506333,0.484124954721372,36,0.5900312013904454,0.1415136756398119,0.0,0.4485175257506333
51,RMD_Postpartum Psychosis,PT_Digital Health Tools,0.4471611907097964,0.4471611907097964,0.4853249031169366,36,0.7183669958120321,0.2712058051022357,0.0,0.4471611907097964
52,RMD_Childhood Disintegrative Disorder,PT_Psychophysiological Metrics For Treatment Response,0.4443178236266451,0.4443178236266451,0.4630473150145481,36,0.5684444767393493,0.124126653112704,0.0,0.4443178236266451
53,RMD_Reactive Attachment Disorder,PT_Transcranial Direct Current Stimulation,0.4426747805827784,0.4426747805827784,0.4477861307934834,36,0.7190351047741068,0.2763603241913283,0.0,0.4426747805827784
54,RMD_Narcissistic Personality Disorder,PT_Traditional And Alternative Medicine Approaches,0.4423016962249229,0.4423016962249229,0.4500517047305541,36,0.6620654771117923,0.2197637808868692,0.0,0.4423016962249229
55,RMD_Chronic Traumatic Encephalopathy,PT_Emotion Regulation Training,0.4404165292990772,0.4404165292990772,0.4501551310040179,36,0.6787190246075465,0.2383024953084691,0.0,0.4404165292990772
56,RMD_Postpartum Psychosis,PT_Metaverse,0.4333596407029381,0.4333596407029381,0.480488900271309,36,0.7183669958120321,0.285007355109094,0.0,0.4333596407029381
57,RMD_Diogenes Syndrome,PT_Meditation And Relaxation Techniques,0.4314107124949268,0.4314107124949268,0.4462059792341104,36,0.5729243881347388,0.1415136756398119,0.0,0.4314107124949268
58,RMD_Othello Syndrome,PT_Blockchain For Data Protection,0.4281240735559736,0.4281240735559736,0.4313550112325494,36,0.4786749159057052,0.0505508423497316,0.0,0.4281240735559736
59,RMD_Diogenes Syndrome,PT_Anticonvulsant Therapy,0.4270789996861489,0.4270789996861489,0.4387793855151087,36,0.5729243881347388,0.1458453884485898,0.0,0.4270789996861489
60,RMD_Kleptomania,PT_Immunotherapy For Neuropsychiatric Disorders,0.4237851999936997,0.4237851999936997,0.4267825144571163,36,0.7412501146256589,0.3174649146319591,0.0,0.4237851999936997
61,RMD_Narcissistic Personality Disorder,PT_Emotion Regulation Training,0.423762981803323,0.423762981803323,0.4297896875023668,36,0.6620654771117923,0.2383024953084691,0.0,0.423762981803323
62,RMD_Impulse Control Disorders,PT_Blockchain For Data Protection,0.4234152085485898,0.4234152085485898,0.4301295174360195,36,0.4739660508983215,0.0505508423497316,0.0,0.4234152085485898
63,RMD_Diogenes Syndrome,PT_Focused Ultrasound Therapy,0.4206814780650496,0.4206814780650496,0.4247813345436882,36,0.5729243881347388,0.1522429100696891,0.0,0.4206814780650496
64,RMD_Ganser Syndrome,PT_Deep Brain Stimulation,0.4183336265810554,0.4183336265810554,0.473147311904706,36,0.6922316029290343,0.2738979763479787,0.0,0.4183336265810554
65,RMD_Ganser Syndrome,PT_Transcranial Direct Current Stimulation,0.4158712787377059,0.4158712787377059,0.4904331926438597,36,0.6922316029290343,0.2763603241913283,0.0,0.4158712787377059
66,RMD_Body Integrity Dysphoria,PT_Focused Ultrasound Therapy,0.4147590159698784,0.4147590159698784,0.4287595390624885,36,0.5670019260395676,0.1522429100696891,0.0,0.4147590159698784
67,RMD_Landau Kleffner Syndrome,PT_Anticonvulsant Therapy,0.4132255375285685,0.4132255375285685,0.4532843045708178,36,0.5590709259771585,0.1458453884485898,0.0,0.4132255375285685
68,RMD_Postpartum Psychosis,PT_Antipsychotic Medications,0.4130513804006715,0.4130513804006715,0.4457757828862202,36,0.7183669958120321,0.3053156154113605,0.0,0.4130513804006715
69,RMD_Diogenes Syndrome,PT_Stem Cell Therapy For Neurological Disorders,0.4122623268123856,0.4122623268123856,0.4314077201285581,36,0.5729243881347388,0.1606620613223531,0.0,0.4122623268123856
