,Anorexia Nervosa,Antisocial Personality Disorder,Autosarcophagy,Avoidant Personality Disorder,Boanthropy,Body Integrity Dysphoria,Brief Psychotic Disorder,Capgras Syndrome,Childhood Disintegrative Disorder,Chronic Traumatic Encephalopathy,Circadian Rhythm Sleep Wake Disorder,Cotard Syndrome,Cyclothymic Disorder,Delusional Disorder,Diogenes Syndrome,Disinhibited Social Engagement Disorder,Dissociative Amnesia,Dissociative Fugue,Ekbom Syndrome,Erotomania,Factitious Disorder,Fregoli Delusion,Ganser Syndrome,Hallucinogen Persisting Perception Disorder,Histrionic Personality Disorder,Hypergraphia,Hyperthymesia,Impulse Control Disorders,Intermetamorphosis Syndrome,Kleine Levin Syndrome,Kleptomania,Koro,Landau Kleffner Syndrome,Narcissistic Personality Disorder,Olfactory Reference Syndrome,Othello Syndrome,Palilalia,Postpartum Psychosis,Pyromania,Reactive Attachment Disorder,Reduplicative Paramnesia,Rumination Disorder,Savant Syndrome,Schizoaffective Disorder,Schizotypal Personality Disorder,Selective Mutism,Stendhal Syndrome,Wendigo Psychosis
Circadian Rhythm Sleep Wake Disorder,0.012805510654727426,0.026528547390686368,0.02335885884432659,0.01934676977845524,0.028086358808111472,0.028740072243163373,0.0,0.016279382035358208,0.019291125980708874,0.02557262455407922,0.04078661318062064,0.013788061760590564,0.0190936833772621,0.025477119131145004,0.018611854566236676,0.020905023697520172,0.01854124355773208,0.017932617888198266,0.0324242611804772,0.017198657154562598,0.022972871719156192,0.02649399571935715,0.011429090750932758,0.02503085005936424,0.024143568400217478,0.025301621206774424,0.020348613911202674,0.029486656471440553,0.0,0.025006608090749383,0.025794713846417495,0.021084812681944617,0.015139544415895299,0.02506571143988213,0.022611579428984886,0.0,0.02407393304737502,0.01915227389772756,0.01613998964915237,0.027791852874265343,0.02224367195780066,0.030077678522090655,0.0,0.025107348795911626,0.023231709554678452,0.025160172722627154,0.01718402092343334,0.025158724087869937
Cotard Syndrome,0.017299431381059865,0.018909802106068546,0.023980591119523314,0.02010670222720698,0.026218680279132024,0.021546082961007393,0.02081009202211109,0.03174118338939181,0.020436520423656256,0.02577214864692482,0.011447728098215235,0.03386364710617804,0.024611188854200106,0.010763702474630953,0.016124870909489736,0.025608444632791962,0.019497585639484647,0.02618366127246714,0.013640170133340268,0.030083528766893748,0.021236645248662044,0.014252777635745482,0.010419271887945175,0.027030257074659184,0.015094812884211734,0.03036604833893437,0.02642289417690411,0.020724158730998376,0.0,0.017808071703726565,0.023789764367044434,0.021238982360346374,0.019667551431359034,0.024643080383995663,0.02478806970997337,0.0020016423878670224,0.02783650591578337,0.025148707035897673,0.022698187615619543,0.013294873629308436,0.020218478647129293,0.01529733854712756,0.00885304643476332,0.022951954261303014,0.019673414830746173,0.028657496267836903,0.030767248847346853,0.026472957167127373
Cyclothymic Disorder,0.01019664380696989,0.02625834751740979,0.02231633589807727,0.021693545800382418,0.020754513218180747,0.016248347469494735,0.018317140829632924,0.025543794578027735,0.02079600904269968,0.025922500444307335,0.015993319074841614,0.024829352406803104,0.0341638281986293,0.013406794844563797,0.011627988291616497,0.02128461299173603,0.024043258278350077,0.025911063610826134,0.020019863436514858,0.024482332025753072,0.025385176413500958,0.017088950925322154,0.01235216348386327,0.026724420979437433,0.024647894573590297,0.024825008006448657,0.02759974228735914,0.028810415152149247,0.0,0.02539485657201612,0.024494748274377382,0.0180494630223703,0.02265184607940246,0.025851046860824838,0.027901487473588515,0.0,0.02041655819812381,0.02234686452897701,0.016846980283644102,0.02357112420164869,0.016783592674367458,0.022839497752295056,0.0,0.02776595741270041,0.025499252497135482,0.026176064348132657,0.023995278395395513,0.018172017804348132
Delusional Disorder,0.014278466372809863,0.027110842268433473,0.02064866044371359,0.01130764134507414,0.032922332773970636,0.03013376015297698,0.0,0.01808313794677284,0.015078176378154971,0.030837575150000886,0.0363494247265404,0.018496639116795055,0.022836171857714176,0.05819221231521007,0.0101946107771474,0.010874589477963294,0.023657959478798563,0.008366371632136063,0.035791150027627824,0.016497872702818155,0.013128294943647877,0.013718947330115566,0.005166267076603921,0.022053203688750207,0.014918762982044597,0.02333520852567209,0.015656983619245536,0.03373666229900044,0.0,0.022643488973529025,0.02786358425206883,0.02918203284229328,0.022424214114056887,0.02005020273263292,0.025170502378940907,0.0,0.024615262288561965,0.021180693736544458,0.03157973680806932,0.029810878327873044,0.014058762574446495,0.03325365011990629,0.0,0.021508864322033985,0.019650377171162695,0.023361093730463068,0.019333081090372555,0.030941649069113477
Diogenes Syndrome,0.018051008934307427,0.018467598770524077,0.024066100423737354,0.02392975977306932,0.021505886416185737,0.03120213605728119,0.01404120353006592,0.026009907002344984,0.026098364265785254,0.021425462853618942,0.020964389842545006,0.021876242937762268,0.01563681425592264,0.008048519524910754,0.045942034203661324,0.028502810973528588,0.017021009301823414,0.02228039393561421,0.012891401789802378,0.022400749958660187,0.0243601886645139,0.025930393048003347,0.01648846136167121,0.025015280019187014,0.015849058749099417,0.028119315275210537,0.02092619387945416,0.02217698083546628,0.0,0.018749237512014842,0.019979310415868975,0.01725028937063489,0.016012681867169497,0.03131051208746282,0.018513627718341828,0.005603315030165469,0.028087337587896236,0.027453664297277598,0.013418242621968928,0.016658917709526284,0.027695064631517635,0.01735905852546768,0.007288769601666181,0.020222092036868738,0.021126114571511527,0.026488023986057176,0.023774039289810707,0.02378203450907411
Disinhibited Social Engagement Disorder,0.017328367799729117,0.019193448725399728,0.029114507285491385,0.023659670450177837,0.024790727058525436,0.022937930501035392,0.016412571353537467,0.025058885162914855,0.02161618958411168,0.02412369570898135,0.01726442017687709,0.025472316900566755,0.020985446107791707,0.006294583223458399,0.020897601771584458,0.03368363689659522,0.014650119529354001,0.024987152301649766,0.013363592364801342,0.02763029907485447,0.02584042294552992,0.01962193511362016,0.010405212371264978,0.0293466901155319,0.021362001710017182,0.029683957161878258,0.026832579533840478,0.02111838029601529,0.0,0.019021870521050675,0.025592180304605687,0.01775360724987873,0.01647829913147845,0.026785139743584572,0.025647450825514825,0.004348442319097403,0.028514552705267916,0.020829175564666475,0.012795484118147848,0.014312026045387572,0.02559426064588244,0.01522615573467119,0.011434228954997253,0.022111820715646553,0.0208515512030454,0.027627644164482577,0.026203575585493955,0.025196193208281124
Dissociative Amnesia,0.0034813414112628265,0.032626445062893174,0.01975192158477797,0.017247474186199034,0.02552383434277787,0.023693375951179863,0.015519208153502764,0.0263002452739054,0.017502803813051946,0.02963749476097016,0.018976517007658136,0.024034904239694645,0.0293779902105028,0.01697101059630318,0.015465728343893821,0.018155887383540587,0.041744117987385594,0.01709326024962505,0.024895620351543572,0.019224467457443103,0.014642699342070045,0.013738704394939714,0.0030551408700179267,0.02633329036947409,0.015804591753492366,0.024377303081769535,0.022270598418304206,0.028233682706837366,0.0,0.029784517676836587,0.02540908296545586,0.02576983470536019,0.02091946988426758,0.022527942426551824,0.025420690031903524,0.0,0.02300903239688327,0.02833156657885613,0.020545617645511036,0.024413516169401378,0.017597268099975184,0.02840514486932785,0.0,0.03098859965701413,0.014677069220153625,0.026644259500877537,0.024832410269048248,0.025044318555815057
Dissociative Fugue,0.019000285005064284,0.019318544162624806,0.024079772689986914,0.02436443407533011,0.02093534480521759,0.018067964607130504,0.017798837961474072,0.027546961182510505,0.021408325290360623,0.02149096342464287,0.015089518329714566,0.026536642324494358,0.026029632570416007,0.004934255230471963,0.016644163407506272,0.025459338379449446,0.014053320216751028,0.034320161787476114,0.015372245399638341,0.028281429658137288,0.027916080201697415,0.023401723129432353,0.02113472877573394,0.026893338576507185,0.02473612594458366,0.02823841323268467,0.02958353778411314,0.023335897588005465,0.0,0.01889183205548714,0.023691754510120816,0.015195771637716028,0.015125603424759344,0.02646755053727368,0.024255790258937093,0.003196680883719923,0.022024546697154573,0.02066466366359749,0.014109755047346684,0.01920961341854459,0.020730280434390694,0.017995645171473243,0.013395947765636554,0.022739206321567142,0.024981796959789266,0.02725791734662073,0.026092776870549284,0.018000881219840153
Ekbom Syndrome,0.013500798186726438,0.03093694723852163,0.0200778487340894,0.019254876009425985,0.029398187767933445,0.025957772027656516,0.0,0.017850293724634307,0.01494408217934136,0.028636401846760043,0.03228976452208115,0.016360572266104104,0.023801647241562942,0.024981770705039718,0.011397309882212013,0.01611449409065995,0.024223678630926,0.01819283644892944,0.040617429273867856,0.018254610533787925,0.018438962396111848,0.024346506784688932,0.01296809617074285,0.023501350496560484,0.019809202379170866,0.02412179871805749,0.019878151295081484,0.032320883015807336,0.0,0.027176754550362635,0.02712231352399401,0.020328213042503665,0.01311447236311987,0.022816326669736205,0.02283690039620911,0.0,0.022969658418914445,0.01972033441921441,0.01961107912905831,0.033288394707624604,0.0168979806850322,0.033450673081098725,0.0,0.028151261436199674,0.020850592499521068,0.026717664747398364,0.01803306390596033,0.024738043816953378
Erotomania,0.019063040793110653,0.0200066625682217,0.026805421179946314,0.02493087142320111,0.026661969102455493,0.0214378502571053,0.016241660135057706,0.026262247700709018,0.017093626296617984,0.02669488567588627,0.013740332190216462,0.028947788099665927,0.023351059562975018,0.00923811613145291,0.01588812598762961,0.02672926065467601,0.01500649839930551,0.026851736124660436,0.014644699885244208,0.032585195982403524,0.02284262069185983,0.019063351500501015,0.013655696764725235,0.02576595528548178,0.01826014323008344,0.029522425178697832,0.028278047699499362,0.021524014299777426,0.0,0.01807357326076642,0.026290457012962384,0.01774146244836795,0.015112244762396483,0.024130741585208382,0.027099200765447716,0.0021547713548383464,0.027580099079941658,0.022242914658205774,0.020982513202994345,0.015917257571009504,0.01742009758016011,0.017836956983868255,0.010546862117252684,0.02321391515936502,0.022631653144429574,0.02872490328638785,0.025701093201620354,0.02550597999102498
Factitious Disorder,0.0203553090922727,0.01677857772927512,0.02360858490757302,0.027017059906663286,0.019182472437105608,0.018266534559152194,0.015903657286646868,0.02320072146182917,0.025962944320808205,0.019626130336158537,0.020000969886031724,0.022269250226753693,0.02638560576196788,0.008011187002299544,0.01882885189000916,0.027241690418972665,0.012456019183171966,0.02888407895314223,0.016120461037766338,0.024893101126471875,0.0355102240569505,0.021683584762923515,0.019123367671665836,0.02780819052427659,0.028590775150178688,0.02655529457859267,0.027241654036432077,0.025882509622890085,0.0,0.01638296507368465,0.025076455759025423,0.016010080526600606,0.020984952782058256,0.028210964193398747,0.0231293003726747,0.004776503422500439,0.02227533468146756,0.019438093164635063,0.011607695847613305,0.017807469343660114,0.02252881906856339,0.015914374233946867,0.013329117675919825,0.01986662810335482,0.029331139548397757,0.025724314074601917,0.022499058067053154,0.01771792609735153
Fregoli Delusion,0.016361267296729275,0.024089157028934754,0.02425632601395755,0.026587842266314755,0.022450170621048083,0.0256048587895815,0.007504543227860289,0.020613624400120014,0.01722052570223627,0.025294568159632644,0.026108972596086823,0.016917093301271464,0.020105220386052634,0.009475799987627409,0.02268604784309857,0.023414388649632897,0.013228495522568284,0.02740680911604468,0.02409262880972381,0.023514669711271804,0.024543564381727223,0.040193883063171884,0.018117195137075576,0.02222263152076411,0.02187055762524229,0.026161972069337538,0.025730203400255808,0.026339872003339093,0.0,0.023907413903869086,0.02431050259867092,0.010105758560288896,0.009372736075725757,0.028224391717940955,0.02545484466060597,0.0,0.022078389105903408,0.022984790931606047,0.015935951236022136,0.02843970857779936,0.020727701187400544,0.02583009200450809,0.005018600993496523,0.02446970976979237,0.02787428277504592,0.02641155009283191,0.016802468882391983,0.01993821825519921
Ganser Syndrome,0.0249499743971612,0.017335619322128914,0.017412948216355383,0.03249543052778159,0.015515538984465161,0.021317463857436096,0.008091950955411768,0.022040148412426762,0.020151886758892443,0.01405738334842593,0.017462511139437344,0.01917415793747347,0.022531451007338058,0.005532541045730035,0.022365703805624734,0.019250615979897565,0.004560879621915983,0.03837602703766467,0.019896489117540463,0.02611597150298033,0.03356012899810153,0.028089477215325648,0.06231787834464281,0.023140563130621322,0.03224830649898503,0.0252381240900232,0.028852176316541245,0.025156574830167946,0.0,0.009260228297258519,0.02713247178288269,0.014384338911599326,0.00978595103086996,0.026542894203425493,0.015100863977788362,0.007133995712515981,0.017682944814754086,0.01580094664172032,0.019378413657399784,0.027256802403682917,0.018716600496019864,0.02555282551899152,0.015291461946172797,0.017079913283533907,0.026840418509241803,0.029772597686843743,0.020680577795207274,0.009367830867277254
Hallucinogen Persisting Perception Disorder,0.01340568657086762,0.022606711115466343,0.024674138707269956,0.01968372356462292,0.02512419979047103,0.023209593775223438,0.013744379310001435,0.026248363160741663,0.022378753274454845,0.023652961881523264,0.01924827322557777,0.025035153961586825,0.024534408684662664,0.011886134509180796,0.01707768379514604,0.027325868196129876,0.01978534642824194,0.024577019449019473,0.0181473914278408,0.024800459732603784,0.024561401126246208,0.017340808437263096,0.011646490706657471,0.03136417151573468,0.02245919118609902,0.02831166335541758,0.024562617933038048,0.025139164029820023,0.0,0.02040255927852114,0.025465657167035863,0.023045799283236582,0.021257601640249466,0.025387306842390867,0.023963690346291262,0.0,0.026118958062416903,0.02149690125303878,0.015565879739992487,0.018151929912527294,0.02321066240041638,0.01970995525804744,0.002515735443598663,0.023080158886119875,0.0199234662423038,0.02740032831878086,0.026189697258076645,0.024581953784682944
Histrionic Personality Disorder,0.015024684134014638,0.023813952364716208,0.024068209442774494,0.024790596057169628,0.018771441153585918,0.015815760238238313,0.011904427063643372,0.019631150069939138,0.025993037911631645,0.020032710218649656,0.023910674009338696,0.018005368238648546,0.029142130732111297,0.010355616282014564,0.013934816627983047,0.025617159483588326,0.01529311648530352,0.029113227937943718,0.01969983368588524,0.0226355914120768,0.03252224529926963,0.02197899828821508,0.020902693739337758,0.028924662196447817,0.04039317616769659,0.023785331508651343,0.02820351507804112,0.027153353591851507,0.0,0.02157929972648541,0.025300371492368127,0.01624446807238558,0.01960338522976423,0.026864929330280098,0.024686725321432738,0.0,0.01858132211930859,0.016678932534941345,0.009317293898873605,0.02228732848195171,0.02064661094442363,0.023642858163335206,0.005442329842572033,0.025649223091738494,0.028126600000974455,0.026158579477092072,0.02233089053804364,0.015441372274868317
Hypergraphia,0.016883634311306957,0.02073773822660387,0.025596218024778745,0.022100067105145334,0.02691663385829726,0.02465626925383675,0.013310655531896162,0.02660009594182929,0.018742460592181723,0.025483132934911015,0.018635109683264327,0.026937407557720092,0.021828511191942037,0.012046144422654066,0.01838636037448168,0.026473055300318526,0.017542505260670405,0.024716798130798738,0.017840150101699894,0.02721654174617237,0.02246461389422851,0.019552926185975584,0.012165939714033598,0.02711644880091524,0.017688966233950488,0.030040091266018785,0.02558643701373363,0.022496529104046016,0.0,0.019428582324843825,0.025317566169203658,0.020289317249628076,0.01677416930324214,0.02505169182324167,0.024479987563689364,0.0010673682646807168,0.027739085034331583,0.02287960335992137,0.019464705430724687,0.017332198133119352,0.022111093330512095,0.01855043710559383,0.0062956859277005905,0.022759292567317655,0.020203961795680833,0.028071894935664927,0.026011094677013052,0.026410823210439548
Hyperthymesia,0.016666288553164453,0.022285566680570346,0.026557639365656464,0.026083804811509893,0.022714703068626947,0.017433512372904136,0.017412985192092625,0.02446529269823314,0.016935673734958724,0.02630740200516001,0.01632035635736277,0.025524609439690177,0.026427187584770362,0.008801479438909512,0.014900212895522052,0.026058889122996382,0.01745215443224143,0.028197670525564114,0.01600943512622804,0.02838844047512744,0.025095306854832036,0.020940917435741318,0.015145317016012733,0.025618475518603835,0.02284060930306373,0.02786255991172125,0.032712403145610414,0.023495050375340325,0.0,0.022554956063078783,0.02618249848315555,0.013799781436451497,0.014903242473836883,0.02496974278801339,0.028605277572636898,0.0,0.02257059221551005,0.019889547201985016,0.01601067752024919,0.020650200926905796,0.01849219068519996,0.01968172371431108,0.00981023228028491,0.02616949782046431,0.02507364955041128,0.02695367162421737,0.024492365964736196,0.020536208203624833
Impulse Control Disorders,0.013298285571371029,0.02621847632599064,0.02185533978545593,0.02123349723903867,0.023060787982367128,0.022749225052631012,0.010371257442463784,0.021659573654626483,0.02153331274540917,0.02595422127433558,0.023497454710485022,0.019890977009266748,0.027409172385731363,0.018843005756378112,0.015689356650271016,0.020377671850316595,0.021982909683639786,0.0220997885721247,0.025863287023979355,0.021469200389786978,0.023690046147868193,0.021299363758819773,0.01312054230546745,0.02605133278437079,0.021848841116742044,0.024340371650242557,0.023344085535230433,0.03250221322766622,0.0,0.024286267283952088,0.025606862539697888,0.019971898806099442,0.01995069943657599,0.026278215699110836,0.025474752776730576,0.0,0.022264711150414035,0.02165882043551806,0.0156724111047284,0.027141192185905418,0.018382865481668967,0.026341564355733347,0.0,0.02503936047477885,0.024788634678848502,0.025224622887526603,0.020230140053889133,0.02043338298424303
