pt_name,direct_value,spillover_value,spillover_value_norm,spillover_gain,spillover_gain_norm,linked_rmd_count,top_source_rmds,top_reachable_rmds
Machine Learning Neuroimaging,3.18783230890422,2.522517955212403,0.40720097003630035,-0.6653143536918171,0.44022830749600556,6,Antisocial Personality Disorder; Avoidant Personality Disorder; Ganser Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Antidepressants,1.3173880330786054,2.222216948715186,0.3579342561296599,0.9048289156365805,0.5997992178212365,8,Capgras Syndrome; Cotard Syndrome; Dissociative Amnesia,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Motivational Interviewing,2.689107636578114,2.215112731872707,0.3567687541461945,-0.4739949047054073,0.3127662509521384,5,Chronic Traumatic Encephalopathy; Cotard Syndrome; Cyclothymic Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Social Skills Training,2.5317266052319853,2.0866241780871717,0.33568920834823995,-0.44510242714481363,0.2935173213319073,10,Anorexia Nervosa; Antisocial Personality Disorder; Avoidant Personality Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Antipsychotic Medications,1.6938361152234234,1.9412340318524755,0.3118368249581903,0.24739791662905208,0.1618013686054931,8,Diogenes Syndrome; Hypergraphia; Kleine Levin Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Cbt For Insomnia,2.0885622812602507,1.9201998719323625,0.3083860075562169,-0.16836240932788815,0.10914583173265913,5,Avoidant Personality Disorder; Fregoli Delusion; Ganser Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Personalized Medicine,1.742993344433001,1.8916286276174703,0.3036986728847909,0.14863528318446928,0.09600310065507241,25,Autosarcophagy; Brief Psychotic Disorder; Capgras Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Transcranial Direct Current Stimulation,2.8345661281586576,1.8758610890522813,0.301111885645667,-0.9587050391063763,0.6356929104513008,5,Anorexia Nervosa; Antisocial Personality Disorder; Erotomania,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Mentalization Based Treatment,1.7425075435333253,1.7953066763424805,0.28789630821160345,0.05279913280915527,0.03215453281316658,6,Fregoli Delusion; Kleine Levin Syndrome; Olfactory Reference Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Anxiolytic Medications,0.5984385177146117,1.7360299014026417,0.2781714926129703,1.13759138368803,0.754871705334889,6,Boanthropy; Delusional Disorder; Intermetamorphosis Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Transference Focused Psychotherapy,1.6553229740923647,1.6666146501405488,0.2667833811824521,0.01129167604818404,0.004501171752970093,8,Autosarcophagy; Diogenes Syndrome; Disinhibited Social Engagement Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Digital Phenotyping,1.8346048833280002,1.6032683864270187,0.2563909343244426,-0.23133649690098146,0.1511008277017842,6,Anorexia Nervosa; Boanthropy; Ekbom Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Music Therapy,1.9300529898796832,1.4332086041076302,0.22849130541449916,-0.49684438577205303,0.3279891771268929,4,Disinhibited Social Engagement Disorder; Hallucinogen Persisting Perception Disorder; Narcissistic Personality Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Mindfulness Based Stress Reduction,1.178328208659092,1.3497798374291512,0.2148041678738177,0.17145162877005915,0.11120395109951128,8,Brief Psychotic Disorder; Capgras Syndrome; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Brain Computer Interface,0.43934550930965477,1.1310437727795437,0.17891881655963063,0.6916982634698889,0.4578059631802416,4,Intermetamorphosis Syndrome; Koro; Landau Kleffner Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Trauma Focused Cbt,0.40415955982507645,1.1064749925759563,0.17488811723083403,0.7023154327508798,0.46487940102672837,4,Boanthropy; Intermetamorphosis Syndrome; Koro,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Dialectical Behavior Therapy,1.001840001223139,1.0615172321607091,0.16751244724525308,0.05967723093757016,0.036736902965301826,3,Chronic Traumatic Encephalopathy; Hypergraphia; Palilalia,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Digital Therapeutics,0.9623422622510933,1.0587660086772845,0.16706108765165023,0.09642374642619123,0.06121839953982633,3,Boanthropy; Erotomania; Pyromania,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Traditional And Alternative Medicine Approaches,0.6973440967287625,1.0527469474517626,0.166073613880439,0.35540285072300004,0.23375710070399672,4,Body Integrity Dysphoria; Dissociative Amnesia; Postpartum Psychosis,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Neuroplasticity Techniques,0.42342214419703295,1.0478005937272556,0.16526212611132096,0.6243784495302227,0.4129557298330304,3,Delusional Disorder; Pyromania; Wendigo Psychosis,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Focused Ultrasound Therapy,0.3786729827677441,1.0198302756773785,0.16067337806377216,0.6411572929096344,0.4241342372712323,3,Dissociative Amnesia; Intermetamorphosis Syndrome; Koro,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Deep Brain Stimulation,0.9321847097671754,0.9052952632683952,0.1418830191686574,-0.026889446498780223,0.014892817294837478,4,Ganser Syndrome; Kleptomania; Pyromania,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Neuromodulation Techniques,0.7340040026590888,0.8830238501161648,0.13822922075863545,0.14901984745707597,0.09625930750345835,4,Body Integrity Dysphoria; Kleine Levin Syndrome; Postpartum Psychosis,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Selective Serotonin Reuptake Inhibitors,0.7614425311677995,0.8343375239414705,0.13024185058364982,0.07289499277367106,0.045542924075346616,7,Capgras Syndrome; Cotard Syndrome; Cyclothymic Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Blockchain For Data Protection,0.3975316554578118,0.768415998841788,0.1194269120815853,0.37088434338397624,0.24407127891949526,2,Kleine Levin Syndrome; Reduplicative Paramnesia,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Fecal Microbiota Transplant,0.7659552784407146,0.7328060734653572,0.1135848270808689,-0.03314920497535745,0.01906323328296378,3,Dissociative Fugue; Ganser Syndrome; Hyperthymesia,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Resting State Fmri,0.29760041628325773,0.7208009155095788,0.11161528762007843,0.4232004992263211,0.2789256800243636,5,Dissociative Amnesia; Intermetamorphosis Syndrome; Koro,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Expressive Writing And Journaling,0.23532744811513778,0.7124402078625607,0.11024364855530386,0.4771127597474229,0.3148434481099099,2,Circadian Rhythm Sleep Wake Disorder; Delusional Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Interpersonal Psychotherapy,0.3034733827300892,0.5898670420163191,0.0901345681202573,0.2863936592862299,0.18778135956758477,3,Body Integrity Dysphoria; Circadian Rhythm Sleep Wake Disorder; Reduplicative Paramnesia,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Digital Health Tools,0.20731756313474636,0.5873764693512619,0.08972597031905676,0.3800589062165155,0.2501836143496974,6,Cotard Syndrome; Dissociative Amnesia; Intermetamorphosis Syndrome,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Anticonvulsant Therapy,0.3130926035974573,0.5778276442261366,0.0881594113485378,0.26473504062867936,0.1733518172987961,2,Diogenes Syndrome; Disinhibited Social Engagement Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Lithium Therapy,0.4513034809022231,0.4869383049549332,0.07324830889414274,0.03563482405271007,0.02071921818707324,3,Circadian Rhythm Sleep Wake Disorder; Ekbom Syndrome; Rumination Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
