node,hop,propagated_mean_variance,amplification_ratio
PT_Digital Imaging Technologies for Brain Scanning,2,1.9870591758153425e-07,0.04164930405652911
PT_Electroencephalography,2,0.01905124319538084,0.04164931278624799
PT_Exposure Therapy,2,0.4295371967435349,41.162859028839996
PT_Expressive Writing & Journaling,2,0.4637784004092881,4020.8107640709577
PT_Eye Movement Desensitization and Reprocessing,2,0.4638562617514507,233.70483405833542
PT_Genetic Testing,2,0.4639464501510069,111.78843160944932
PT_Interpersonal Psychotherapy,2,0.4638162549109337,452.8433697111374
PT_Meditation and Relaxation Techniques,2,2.59693418557708e-05,0.04164931271954238
PT_Metaverse,2,0.15871598292568836,0.04164931278632811
PT_Mindfulness-Based Stress Reduction,2,0.0033283195784567605,0.04164931278581785
PT_Mood Stabilizers,2,0.5205823190995698,0.38166490646408224
PT_Neurocognitive Training,2,1.782247060052632e-05,0.0416493126890088
PT_Neurofeedback Systems,2,2.928863288600504e-07,0.04164930686368292
PT_Neuromodulation Techniques,2,0.0001250133182122677,0.04164931277246319
PT_Neuroprotective Agents,2,0.46379546104954966,883.4696171945055
PT_Peer Support Programs & Online Communities,2,3.4904513727949616e-09,0.041648815817789155
PT_Personalized Medicine,2,0.13600577418380164,0.04164931278632628
PT_Privacy-Preserving AI in Digital Mental Health,2,0.00019545685492148757,0.04164931277746411
PT_Psychoeducation Programs,2,1.1795990974694705e-05,0.041649312639283544
PT_Psychophysiological Metrics for Treatment Response,2,3.273294598984377e-05,0.041649312733344566
PT_Regenerative Medicine Approaches,2,1.2717798136187094e-05,0.04164931264994237
PT_Resting-state Functional Magnetic Resonance Imaging,2,0.00969852347614268,0.04164931278616018
PT_Selective Serotonin Reuptake Inhibitors,2,0.021631126352172757,0.04164931278625885
PT_Social Skills Training,2,1.7320190200386076e-07,0.04164930277106312
PT_Stem Cell Therapy for Neurological Disorders,2,7.027842671529348e-05,0.04164931276165628
PT_Traditional & Alternative Medicine Approaches,2,0.007016423070296702,0.041649312786091804
PT_Transcranial Magnetic Stimulation,2,0.00424724489586992,0.04164931278593062
PT_Trauma-Focused CBT,2,0.46066452543451164,329.95762079511303
PT_Virtual Reality Exposure Therapy,2,0.034697081194681456,55.43578172276519
PT_Voxel-based Lesion-Symptom Mapping,2,0.003173029085044058,22.745355545898345
RMD_Anorexia nervosa,2,0.00527869818459844,0.0416493127860104
RMD_Antisocial Personality Disorder,2,0.0017531348026975505,0.04164931278534958
RMD_Autosarcophagy,2,8.057850141113923e-05,0.041649312764811396
RMD_Avoidant Personality,2,0.005395893552113653,0.04164931278601756
RMD_Boanthropy,2,0.008707400760467927,0.04164931278613983
RMD_Body Integrity Dysphoria,2,0.00011318169110631107,0.04164931277101264
RMD_Brief Psychotic,2,0.003387866815593231,0.041649312785826995
RMD_Capgras,2,0.0004679008058486807,0.0416493127826317
RMD_Childhood Disintegrative Disorder,2,0.0003121186417063192,0.0416493127807813
RMD_Circadian Rhythm Sleep-Wake,2,7.604136939871529e-06,0.041649312558217785
RMD_Cyclothymic,2,0.0011657202916560401,0.04164931278485098
RMD_Delusional,2,0.017677546043983857,0.041649312786240913
RMD_Dementia pugilistica,2,0.009921864637083336,0.041649312786164204
RMD_Diogenes,2,0.0006217317502854117,0.041649312783548956
RMD_Disinhibited Social Engagement,2,0.0006074542765416783,0.04164931278348338
RMD_Dissociative Fugue,2,0.0002231966527252583,0.041649312778567114
RMD_Ekbom,2,0.0020631301569372647,0.04164931278549822
RMD_Erotomanic,2,0.0011349546846028714,0.04164931278481062
RMD_Factitious,2,0.0017690679049899008,0.04164931278535847
RMD_Fregoli Delusion,2,0.001784274412760482,0.04164931278536682
RMD_Ganser,2,0.002180937303696409,0.041649312785543645
RMD_Hallucinogen-Induced Psychotic,2,0.027864833813515958,0.04164931278627677
RMD_Histrionic Personality,2,0.0003097744899856602,0.04164931278073925
RMD_Hypergraphia,2,0.0010433694078543939,0.041649312784676464
RMD_Hyperthymesia,2,0.06110356877814327,0.04164931278631062
RMD_Impulse Control,2,0.0002619556334802181,0.04164931277971703
RMD_Intermetamorphosis,2,2.681921249405263e-05,0.041649312721659074
RMD_Kleine-Levin,2,0.00012820575507307288,0.04164931277280869
RMD_Kleptomania,2,0.0018928674783174413,0.041649312785422596
RMD_Landau-Kleffner,2,2.0302815156453893e-05,0.04164931270089937
RMD_Narcissistic Personality,2,0.0014450224190143582,0.04164931278513858
RMD_Olfactory Reference,2,0.02497916219632658,0.04164931278626958
RMD_Othello,2,0.003967472646495591,0.041649312785901796
RMD_Palilalia,2,0.009143816734641255,0.041649312786149306
RMD_Paramnesia,2,0.00017711691797300954,0.041649312776545114
RMD_Postpartum Psychosis,2,0.0002448458297458205,0.04164931277925429
RMD_Psychogenic Amnesia,2,0.3869015512889266,9.09562025893557
RMD_Pyromania,2,0.8211655270013667,49.7401952869534
RMD_Reactive Attachment,2,0.8212432338262509,44.693912576848994
RMD_Reduplicative Paramnesia,2,0.8231378222924896,12.888936941705602
RMD_Rumination,2,0.8234409520034263,11.574602914387961
RMD_Savant,2,0.0032773909346355285,0.04164931278580973
RMD_Schizoaffective,2,0.39392051379388865,1.866369770833478
RMD_Schizotypal Personality,2,0.38602715482726363,17.919023649008338
RMD_Selective Mutism,2,0.8214517957008636,35.13119381945013
RMD_Stendhal,2,0.8220385780296761,21.937965714081358
RMD_Walking Corpse,2,0.8207186477092218,142.00460053905752
RMD_koro,2,0.8213737404736736,38.18868928348308
Global_Disaster_Total,3,1.4534099593874814,1903.9147742415096
Global_Holidays_Average,3,1.4534071872584764,697476.2404904168
Global_Holidays_Total,3,1.453415722803263,619.4876258509915
PT_Animal-Assisted Interventions,3,0.0003000822994111982,0.008499859752073333
PT_Antidepressants,3,0.0014806081731336316,0.008499859752265295
PT_Antipsychotic Medications,3,0.0002230221068256514,0.008499859751990142
PT_Behavioral Activation Therapy,3,0.0024490355877885657,0.00849985975228459
PT_Benzodiazepines,3,0.00034383784450057336,0.00849985975210397
PT_Biofeedback Devices,3,2.748730178333901e-07,0.00849985948947413
PT_Brain Stimulation Technologies,3,7.327080850268637e-07,0.008499859653710546
PT_Brain-Computer Interface,3,5.0455979150283264e-05,0.008499859750882195
PT_Cognitive Behavioral Therapy,3,0.0005733458271073143,0.00849985975218808
PT_Cognitive Enhancement Programs,3,3.5085757054944655e-09,0.008499839160641901
PT_Cognitive Technologies,3,0.00030166596496710834,0.008499859752074596
PT_Creative Arts Therapies,3,0.00011408253091336263,0.008499859751680798
PT_Dietary Interventions & Supplements,3,3.942239259344722e-08,0.008499857919660224
PT_Digital Health Tools,3,0.0024155128197625047,0.008499859752284181
PT_Digital Imaging Technologies for Brain Scanning,3,4.055222807786414e-08,0.008499857970720228
PT_Electroencephalography,3,0.003888008815383845,0.008499859752295509
PT_Exposure Therapy,3,0.5703652611506774,54.65851390214023
PT_Expressive Writing & Journaling,3,0.5808911203703228,5036.140681577666
PT_Eye Movement Desensitization and Reprocessing,3,0.5809070104401519,292.67854650841053
PT_Genetic Testing,3,0.5809254162359797,139.9746482421615
PT_Interpersonal Psychotherapy,3,0.5808988457788219,567.1560407780588
PT_Meditation and Relaxation Techniques,3,5.2998656848511846e-06,0.00849985973868212
PT_Metaverse,3,0.03239101692360988,0.00849985975231186
PT_Mindfulness-Based Stress Reduction,3,0.0006792488935626043,0.008499859752207725
PT_Mood Stabilizers,3,0.5924837568377271,0.434379442671214
PT_Neurocognitive Training,3,3.6372388980665966e-06,0.008499859732450777
PT_Neurofeedback Systems,3,5.97727201755205e-08,0.008499858543608761
PT_Neuromodulation Techniques,3,2.551292208413627e-05,0.008499859749482285
PT_Neuroprotective Agents,3,0.5808946021336414,1106.5281462996782
