node,mean_variance,mean_ci_95
PT_Voxel-based Lesion-Symptom Mapping,0.0001395022845827043,0.003212391398847103
RMD_Anorexia nervosa,0.12674154341220856,0.09640661627054214
RMD_Antisocial Personality Disorder,0.04209276661276817,0.05588579177856445
RMD_Autosarcophagy,0.001934689818881452,0.0118543840944767
RMD_Avoidant Personality,0.12955540418624878,0.09764570742845535
RMD_Boanthropy,0.20906469225883484,0.12366405874490738
RMD_Body Integrity Dysphoria,0.002717492403462529,0.014199521392583847
RMD_Brief Psychotic,0.0813426822423935,0.07806555181741714
RMD_Capgras,0.011234298348426819,0.028864648193120956
RMD_Childhood Disintegrative Disorder,0.007493968587368727,0.023524628952145576
RMD_Circadian Rhythm Sleep-Wake,0.00018257532792631537,0.0036785651464015245
RMD_Cyclothymic,0.027988944202661514,0.045876819640398026
RMD_Delusional,0.42443788051605225,0.17340606451034546
RMD_Dementia pugilistica,0.23822396993637085,0.13170593976974487
RMD_Diogenes,0.014927779324352741,0.03335947543382645
RMD_Disinhibited Social Engagement,0.014584977179765701,0.03241728991270065
RMD_Dissociative Fugue,0.005358951631933451,0.019983980804681778
RMD_Ekbom,0.049535755068063736,0.06067201867699623
RMD_Erotomanic,0.02725026197731495,0.04516760632395744
RMD_Factitious,0.042475320398807526,0.05632178112864494
RMD_Fregoli Delusion,0.04284042865037918,0.05602341145277023
RMD_Ganser,0.05236430466175079,0.06189152970910072
RMD_Hallucinogen-Induced Psychotic,0.6690346598625183,0.22192706167697906
RMD_Histrionic Personality,0.007437685504555702,0.02356465719640255
RMD_Hypergraphia,0.025051299482584,0.042704105377197266
RMD_Hyperthymesia,1.4670966863632202,0.3275604844093323
RMD_Impulse Control,0.006289554759860039,0.021673627197742462
RMD_Intermetamorphosis,0.0006439292919822037,0.006874518468976021
RMD_Kleine-Levin,0.0030782201793044806,0.015144282020628452
RMD_Kleptomania,0.04544774815440178,0.05853467434644699
RMD_Landau-Kleffner,0.00048747059190645814,0.006049973890185356
RMD_Narcissistic Personality,0.034694988280534744,0.05039056017994881
RMD_Olfactory Reference,0.5997496843338013,0.2109474092721939
RMD_Othello,0.09525901824235916,0.08343325555324554
RMD_Palilalia,0.21954303979873657,0.12824217975139618
RMD_Paramnesia,0.0042525772005319595,0.017526235431432724
RMD_Postpartum Psychosis,0.005878748372197151,0.020999141037464142
