src,dst,weight,uncertainty_corr,amplification_ratio,amplification_ratio_floored,log10_amplification_ratio_floored,src_variance_floored,amplification_floor_applied,src_mean_variance,dst_mean_variance
Global_Holidays_Total,RMD_Reactive Attachment,0.5,-0.01710920005850279,7.831883430480957,7.831883430480957,0.8938662148170897,0.002346157794818282,0,0.002346157794818282,0.018374834209680557
Global_Holidays_Total,RMD_Reduplicative Paramnesia,0.5,-0.05900434512871737,27.22063446044922,27.22063446044922,1.4348982435514037,0.002346157794818282,0,0.002346157794818282,0.06386390328407288
Global_Holidays_Total,RMD_Rumination,0.5,-0.14646088799894016,30.32278823852539,30.32278823852539,1.4817691330065546,0.002346157794818282,0,0.002346157794818282,0.0711420476436615
Global_Holidays_Total,RMD_Schizoaffective,0.5,-0.12004274121186088,89.96087646484375,89.96087646484375,1.954053677999599,0.002346157794818282,0,0.002346157794818282,0.21106241643428802
Global_Holidays_Total,RMD_Schizotypal Personality,0.5,-0.1133495129694425,9.182190895080566,9.182190895080566,0.9629463173799393,0.002346157794818282,0,0.002346157794818282,0.0215428676456213
Global_Holidays_Total,RMD_Selective Mutism,0.5,-0.17276721534237738,9.966254234313965,9.966254234313965,0.9985319616180371,0.002346157794818282,0,0.002346157794818282,0.023382404819130898
Global_Holidays_Total,RMD_Stendhal,0.5,-0.07337515108699609,15.971240043640137,15.971240043640137,1.2033386370653953,0.002346157794818282,0,0.002346157794818282,0.03747104853391647
Global_Holidays_Total,RMD_Walking Corpse,0.5,-0.08859514741084155,2.4633984565734863,2.4633984565734863,0.3915346649836858,0.002346157794818282,0,0.002346157794818282,0.00577952153980732
Global_Holidays_Total,RMD_koro,0.5,0.35249871028241736,9.16745662689209,9.16745662689209,0.9622488639016898,0.002346157794818282,0,0.002346157794818282,0.021508298814296722
PT_Animal-Assisted Interventions,Global_Disaster_Total,0.5,-0.019391327114738437,0.021622803062200546,0.021622803062200546,-1.6650880071663752,0.03530438244342804,0,0.03530438244342804,0.0007633797358721495
PT_Animal-Assisted Interventions,Global_Holidays_Average,0.5,-0.09900541209507477,5.902405609958805e-05,5.902405609958805e-05,-4.228970949340606,0.03530438244342804,0,0.03530438244342804,2.0838078853557818e-06
PT_Animal-Assisted Interventions,Global_Holidays_Total,0.5,-0.143358740079562,0.06645514070987701,0.06645514070987701,-1.1774714180985475,0.03530438244342804,0,0.03530438244342804,0.002346157794818282
PT_Animal-Assisted Interventions,RMD_Pyromania,0.3,0.22252420207179835,0.46762165427207947,0.46762165427207947,-0.3301053860621093,0.03530438244342804,0,0.03530438244342804,0.01650909334421158
PT_Animal-Assisted Interventions,RMD_Reactive Attachment,0.3,-0.19273497943767276,0.5204689502716064,0.5204689502716064,-0.2836051741802049,0.03530438244342804,0,0.03530438244342804,0.018374834209680557
PT_Animal-Assisted Interventions,RMD_Reduplicative Paramnesia,0.3,0.18253670351402812,1.8089511394500732,1.8089511394500732,0.2574268365370983,0.03530438244342804,0,0.03530438244342804,0.06386390328407288
