rank,rmd_name,pt_name,brgi_score,brgi_norm,cisn_spillover_value,cisn_spillover_norm,final_priority_score,priority_label,interpretation
94,RMD Childhood Disintegrative Disorder,Traditional And Alternative Medicine Approaches,0.3486806958524799,0.5150002067422134,1.0527469474517626,0.16607361393493034,0.5577641794976712,Watch,Lower gap urgency and lower spillover value.
95,RMD Histrionic Personality Disorder,Neurobiological Assessments For Mental Disorders,0.364362106607266,0.5381615973118282,0.4782712769466662,0.07182641561710246,0.5574887065906697,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
96,RMD Narcissistic Personality Disorder,Electroencephalography,0.366602025251885,0.5414699495630024,0.3965544241443226,0.058420130847549455,0.5572863222147457,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
97,RMD Palilalia,Neuroplasticity Techniques,0.3475225544383493,0.5132896357963347,1.0478005937272556,0.16526212616554603,0.5557033040715551,Watch,Lower gap urgency and lower spillover value.
98,RMD Body Integrity Dysphoria,Psilocybin Assisted Therapy,0.362842158499888,0.5359166391055148,0.462012221803312,0.06915899126263171,0.5544483661862134,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
99,RMD Childhood Disintegrative Disorder,Narrative Exposure Therapy,0.2805622251386591,0.41438945622500306,3.9825314317890848,0.6467275275829323,0.5483879904654191,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
100,RMD Palilalia,Memory Retrieval Techniques,0.3687590757093069,0.544655905782373,0.122946207338242,0.013532576518160047,0.5483412046429068,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
101,RMD Disinhibited Social Engagement Disorder,Memory Retrieval Techniques,0.3681832624515378,0.5438054315510108,0.122946207338242,0.013532576518160047,0.5474849758577384,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
102,RMD Cyclothymic Disorder,Hypnotherapy,0.2859224152849703,0.4223064389153662,3.640910593831803,0.5906819741896023,0.5470308394411207,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
103,RMD Kleine Levin Syndrome,Neurofeedback Systems,0.3582600582954127,0.5291488926237403,0.4269333375822717,0.06340402768855782,0.545923978143383,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
104,RMD Chronic Traumatic Encephalopathy,Dialectical Behavior Therapy,0.3401710079164649,0.5024314264842618,1.0615172321607091,0.16751244730021655,0.5445131854097206,Watch,Lower gap urgency and lower spillover value.
105,RMD Reactive Attachment Disorder,Occupational Therapy,0.3554144486198829,0.5249459367714739,0.3540510379273358,0.05144712002108652,0.5384494150783058,Watch,Lower gap urgency and lower spillover value.
106,RMD Kleptomania,Ketamine Therapy,0.3519867951512626,0.5198833042082793,0.4646766214755783,0.0695961067354058,0.5379742311730967,Watch,Lower gap urgency and lower spillover value.
107,RMD Hyperthymesia,Hypnotherapy,0.2801453894525361,0.4137737913284821,3.640910593831803,0.5906819741896023,0.5359781512933942,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
108,RMD Disinhibited Social Engagement Disorder,Lithium Therapy,0.3494797611271438,0.5161804234463423,0.4869383049549332,0.07324830891817666,0.5350850950033987,Watch,Lower gap urgency and lower spillover value.
109,RMD Circadian Rhythm Sleep Wake Disorder,Neurobiological Assessments For Mental Disorders,0.3491050409432855,0.515626963004015,0.4782712769466662,0.07182641561710246,0.5341447812780703,Watch,Lower gap urgency and lower spillover value.
110,RMD Anorexia Nervosa,Neuroprotective Agents,0.2850472052976434,0.421013756728547,3.303208599895008,0.5352793376133599,0.5336937391424315,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
111,RMD Schizotypal Personality Disorder,Naltrexone,0.2592888757863691,0.38296879128757894,4.809093970738756,0.7823315357770199,0.5327730726089193,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
112,RMD Hallucinogen Persisting Perception Disorder,Acceptance And Commitment Therapy,0.3479149881491515,0.5138692590579599,0.4693880824986075,0.07036905853163022,0.5319495070420873,Watch,Lower gap urgency and lower spillover value.
113,RMD Erotomania,Hypnotherapy,0.2741698543512141,0.40494794622383035,3.640910593831803,0.5906819741896023,0.5245456723835888,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
114,RMD Factitious Disorder,Acceptance And Commitment Therapy,0.3410158271632395,0.503679221650223,0.4693880824986075,0.07036905853163022,0.5214009379649582,Watch,Lower gap urgency and lower spillover value.
115,RMD Landau Kleffner Syndrome,Metaverse,0.2740635708680644,0.4047909658792157,3.5368101816368105,0.5736034925465366,0.5208857217690177,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
116,RMD Koro,Prolonged Exposure Therapy,0.3465310911043183,0.5118252478102004,0.0404595540722748,0.0,0.5118252478102004,Watch,Lower gap urgency and lower spillover value.
117,RMD Dissociative Fugue,Hypnotherapy,0.2652369241629013,0.3917540385928176,3.640910593831803,0.5906819741896023,0.5074550630491952,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
118,RMD Cyclothymic Disorder,Selective Serotonin Reuptake Inhibitors,0.3215622379581433,0.47494633628641353,0.8343375239414705,0.13024185062638421,0.5058752811794953,Watch,Lower gap urgency and lower spillover value.
119,RMD Koro,Cognitive Assistive Technologies,0.3371172529333401,0.4979210407176959,0.231006110901656,0.031260643491635265,0.5057037067881258,Watch,Lower gap urgency and lower spillover value.
120,RMD Reactive Attachment Disorder,Ketamine Therapy,0.3297717852997104,0.48707180990298504,0.4646766214755783,0.0695961067354058,0.5040209607378927,Watch,Lower gap urgency and lower spillover value.
121,RMD Anorexia Nervosa,Hypnotherapy,0.2621665598046533,0.3872191208354531,3.640910593831803,0.5906819741896023,0.5015807982049769,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
122,RMD Rumination Disorder,Transcranial Magnetic Stimulation,0.2653550119489321,0.3919284538528047,3.298822551790199,0.534559772335335,0.4966830463844523,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
123,RMD Hyperthymesia,Stimulant And Wake Promoting Agents,0.2533266370070628,0.3741625848055078,3.964868063529896,0.6438297147481069,0.49461107992788006,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
124,RMD Rumination Disorder,Resting State Fmri,0.315627927784051,0.4661813802596453,0.7208009155095788,0.11161528765670116,0.49219786468858445,Watch,Lower gap urgency and lower spillover value.
125,RMD Schizotypal Personality Disorder,Motivational Interviewing,0.2821870275322385,0.4167892838568794,2.215112731872707,0.3567687542632559,0.49113798065282616,Watch,Lower gap urgency and lower spillover value.
126,RMD Kleine Levin Syndrome,Stem Cell Therapy For Neurological Disorders,0.3238572318028075,0.4783360344215068,0.3465091663524839,0.05020981737713348,0.4903446168881099,Watch,Lower gap urgency and lower spillover value.
127,RMD Capgras Syndrome,Metaverse,0.2579067579126101,0.38092740786946977,3.5368101816368105,0.5736034925465366,0.49017805364978323,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
128,RMD Dissociative Amnesia,Psilocybin Assisted Therapy,0.3168436727552881,0.4679770314642585,0.462012221803312,0.06915899126263171,0.484159441179333,Watch,Lower gap urgency and lower spillover value.
129,RMD Anorexia Nervosa,Naltrexone,0.2253027126760339,0.3327713434896591,4.809093970738756,0.7823315357770199,0.46294010159708265,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
